,15岁及以上人口数(人口抽样调查),15岁及以上女性人口数(人口抽样调查),15岁及以上女性文盲人口数(人口抽样调查),15岁及以上文盲人口数(人口抽样调查),15岁及以上男性人口数(人口抽样调查),15岁及以上男性文盲人口数(人口抽样调查)
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0
2002年,990974.0,491825.0,83210.0,115284.0,499149.0,32074.0
2003年,1004154.0,498676.0,79043.0,109955.0,505478.0,30912.0
2004年,1011199.0,504475.0,74986.0,104324.0,506724.0,29338.0
2005年,13664737.0,6878061.0,1110828.0,1508706.0,6786677.0,397877.0
2006年,972385.0,488202.0,67004.0,90564.0,484183.0,23560.0
2007年,976263.0,489304.0,60865.0,82044.0,486960.0,21180.0
2008年,974433.0,487319.0,56135.0,75731.0,487113.0,19596.0
2009年,968469.0,484192.0,50593.0,68795.0,484277.0,18202.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0
2011年,956619.0,471779.0,36636.0,49876.0,484840.0,13240.0
2012年,939526.0,463489.0,33920.0,46619.0,476037.0,12699.0
2013年,934935.0,460810.0,31005.0,43002.0,474125.0,11997.0
2014年,938993.0,463408.0,34296.0,46210.0,475585.0,11914.0
