,0-4岁人口数(人口抽样调查),10-14岁人口数(人口抽样调查),15-19岁人口数(人口抽样调查),20-24岁人口数(人口抽样调查),25-29岁人口数(人口抽样调查),30-34岁人口数(人口抽样调查),35-39岁人口数(人口抽样调查),40-44岁人口数(人口抽样调查),45-49岁人口数(人口抽样调查),5-9岁人口数(人口抽样调查),50-54岁人口数(人口抽样调查),55-59岁人口数(人口抽样调查),60-64岁人口数(人口抽样调查),65-69岁人口数(人口抽样调查),70-74岁人口数(人口抽样调查),75-79岁人口数(人口抽样调查),80-84岁人口数(人口抽样调查),85-89岁人口数(人口抽样调查),90-94岁人口数(人口抽样调查),95岁以上人口数(人口抽样调查),人口数(人口抽样调查)
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,1258951.0
2003年,62977.0,112240.0,104716.0,80596.0,93892.0,123497.0,123252.0,91467.0,94314.0,81127.0,81679.0,57472.0,46023.0,41710.0,31484.0,19310.0,9832.0,3687.0,1026.0,197.0,1260498.0
2004年,61874.0,103771.0,109259.0,79604.0,88490.0,117954.0,122574.0,100595.0,89609.0,76221.0,86438.0,61775.0,47599.0,40062.0,32538.0,19159.0,10469.0,3727.0,1115.0,234.0,1253065.0
2005年,907102.0,1353263.0,1443484.0,1036723.0,1110290.0,1445908.0,1651487.0,1475539.0,1147578.0,1060664.0,1236929.0,907435.0,668310.0,564095.0,454955.0,290171.0,156110.0,56582.0,15825.0,3319.0,16985766.0
2006年,60556.0,89136.0,105023.0,76160.0,74110.0,93398.0,113952.0,115781.0,76496.0,70588.0,90607.0,68277.0,48886.0,39996.0,32692.0,20632.0,10825.0,4142.0,1130.0,279.0,1192666.0
2007年,59996.0,84278.0,98916.0,78601.0,76755.0,86753.0,115391.0,115847.0,76085.0,68202.0,92481.0,73224.0,50998.0,39849.0,33236.0,20985.0,11302.0,4436.0,1123.0,280.0,1188739.0
2008年,60409.0,79278.0,92767.0,80885.0,76417.0,82027.0,109297.0,113708.0,84701.0,64402.0,91958.0,77554.0,52706.0,39183.0,33302.0,21991.0,11686.0,4777.0,1205.0,269.0,1178521.0
2009年,60158.0,73359.0,83516.0,87637.0,75481.0,78735.0,106040.0,112356.0,92367.0,63000.0,84335.0,79114.0,55690.0,40114.0,32493.0,22528.0,11794.0,4788.0,1174.0,308.0,1164986.0
2010年,,,,,,,,,,,,,,,,,,,,,
2011年,64830.0,62481.0,80388.0,108567.0,89259.0,82148.0,96895.0,107391.0,100853.0,61279.0,62204.0,71667.0,52708.0,36054.0,28826.0,21174.0,11964.0,4796.0,1437.0,290.0,1145209.0
2012年,63981.0,59845.0,73914.0,101742.0,89936.0,83586.0,89054.0,107532.0,99312.0,61309.0,61916.0,71403.0,55427.0,37579.0,28225.0,21250.0,12147.0,4780.0,1439.0,283.0,1124661.0
2013年,63490.0,57562.0,68715.0,97406.0,93136.0,82677.0,84334.0,103771.0,98129.0,62446.0,69533.0,70719.0,58256.0,39216.0,27905.0,21253.0,12769.0,5256.0,1558.0,304.0,1118433.0
2014年,63990.0,58287.0,64719.0,90785.0,98845.0,82546.0,81792.0,101959.0,99249.0,63132.0,77909.0,66409.0,61608.0,41709.0,29133.0,21330.0,13289.0,5604.0,1757.0,347.0,1124402.0
