,0-4岁女性人口数(人口抽样调查),10-14岁女性人口数(人口抽样调查),15-19岁女性人口数(人口抽样调查),20-24岁女性人口数(人口抽样调查),25-29岁女性人口数(人口抽样调查),30-34岁女性人口数(人口抽样调查),35-39岁女性人口数(人口抽样调查),40-44岁女性人口数(人口抽样调查),45-49岁女性人口数(人口抽样调查),5-9岁女性人口数(人口抽样调查),50-54岁女性人口数(人口抽样调查),55-59岁女性人口数(人口抽样调查),60-64岁女性人口数(人口抽样调查),65-69岁女性人口数(人口抽样调查),70-74岁女性人口数(人口抽样调查),75-79岁女性人口数(人口抽样调查),80-84岁女性人口数(人口抽样调查),85-89岁女性人口数(人口抽样调查),90-94岁女性人口数(人口抽样调查),95岁以上女性人口数(人口抽样调查),女性人口数(人口抽样调查)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616197
2003年,28468,53021,49720,40569,47263,61628,61323,44727,46561,36934,40584,28071,22678,20737,15650,10277,5695,2357,703,134,617098
2004年,27784,48850,52676,40440,44959,58944,61084,50038,44289,34788,42563,30316,23333,19952,16442,10047,6082,2379,759,171,615898
2005年,407393,631770,694399,536796,571055,734887,838354,742898,571720,483660,614170,445014,325791,277929,230928,154487,89978,36107,11040,2509,8400884
2006年,27436,41079,49542,38889,38242,47580,57920,58505,38247,31646,44964,33737,23939,19536,16550,10781,6221,2581,764,204,588363
2007年,26833,38936,46481,40081,39510,44130,58270,58198,38140,30927,45858,36243,25050,19554,16851,10915,6352,2676,791,206,585999
2008年,27057,36717,43329,40883,38920,41400,55269,57072,42640,29088,45668,38260,25929,19361,16746,11445,6490,2889,830,190,580182
2009年,27018,33610,39345,43636,37803,39901,53461,56494,46719,28296,41893,39522,27342,19837,16234,11531,6616,2818,813,225,573115
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,29583,28772,38322,53323,44282,40240,47325,52585,49419,28037,30383,35453,26020,17990,14432,11216,6640,2941,991,216,558170
2012年,29287,27475,35005,49709,44679,41047,43530,52620,48748,28057,30362,35267,27499,18851,14234,11126,6719,2921,955,217,548307
2013年,29218,26422,32538,46446,46443,40691,41277,50753,48245,28556,34178,34827,29026,19638,14157,11199,7011,3152,1003,227,545005
2014年,29506,26671,30136,43894,49044,40768,40032,49873,48795,28807,38439,32628,30826,21137,14606,11151,7302,3360,1175,241,548391
