,人口普查0-14岁人口占总人口比重,人口普查15-64岁人口占总人口比重,人口普查65岁及以上人口占总人口比重,人口普查乡村人口数,人口普查城镇人口数,人口普查城镇化率,人口普查女性人口数,人口普查女性平均预期寿命,人口普查家庭户规模,人口普查少数民族人口数,人口普查少数民族占总人口比重,人口普查平均预期寿命,人口普查性别比,人口普查总人口,人口普查文盲人口数,人口普查文盲率,人口普查每十万人口中受初中教育人口数,人口普查每十万人口中受大专及以上教育人口数,人口普查每十万人口中受小学教育人口数,人口普查每十万人口中受高中和中专教育人口数,人口普查汉族人口数,人口普查汉族占总人口比重,人口普查男性人口数,人口普查男性平均预期寿命
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,33.59,61.5,4.91,79736.0,21082.0,20.91,48874.0,69.27,4.41,6730.0,6.68,67.77,106.3,100818.0,22996.0,22.809418953,17892.0,615.0,35237.0,6779.0,94088.0,93.32,51944.0,66.28
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,27.69,66.74,5.57,83397.0,29971.0,26.44,54873.0,70.47,3.96,9120.0,8.04,68.55,106.6,113368.0,18003.0,15.8801425446,23344.0,1422.0,37057.0,8039.0,104248.0,91.96,58495.0,66.84
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,22.89,70.15,6.96,80739.0,45844.0,36.22,61228.0,73.33,3.44,10643.0,8.41,71.4,106.74,126583.0,8507.0,6.7204916932,33961.0,3611.0,35701.0,11146.0,115940.0,91.59,65355.0,69.63
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,16.6,74.53,8.87,67415.0,66557.0,49.68,65287.0,77.37,3.1,11379.0,8.49,74.83,105.2,133972.0,5466.0,4.08,38788.0,8930.0,26779.0,14032.0,122593.0,91.51,68685.0,72.38
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
