,农村居民人均可支配收入,农村居民人均可支配收入_同比增长,农村居民人均消费支出,农村居民人均消费支出_同比增长,城镇居民人均可支配收入,城镇居民人均可支配收入_同比增长,城镇居民人均消费支出,城镇居民人均消费支出_同比增长,居民人均可支配收入,居民人均可支配收入_同比增长,居民人均消费支出,居民人均消费支出_同比增长
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,,,,,,,,,,,,
2008年,,,,,,,,,,,,
2009年,,,,,,,,,,,,
2010年,,,,,,,,,,,,
2011年,,,,,,,,,,,,
2012年,,,,,,,,,,,,
2013年,9429.59383948,,7485.15,,26467.0038375,,18487.54,,18310.757,,13220.4174288,
2014年,10488.8825864,11.2,8382.57,12.0,28843.8537779,9.0,19968.08,8.0,20167.1236487,10.1,14491.3988889,9.6
