,农村居民家庭平均每人坚果及制品消费量,农村居民家庭平均每人奶及制品消费量,农村居民家庭平均每人植物油消费量,农村居民家庭平均每人水产品消费量,农村居民家庭平均每人牛肉消费量,农村居民家庭平均每人猪牛羊肉消费量,农村居民家庭平均每人猪肉消费量,农村居民家庭平均每人瓜果及制品消费量,农村居民家庭平均每人禽类消费量,农村居民家庭平均每人粮食(原粮)消费量,农村居民家庭平均每人羊肉消费量,农村居民家庭平均每人肉禽及制品消费量,农村居民家庭平均每人蔬菜消费量,农村居民家庭平均每人蛋及制品消费量,农村居民家庭平均每人酒消费量,农村居民家庭平均每人食油消费量,农村居民家庭平均每人食糖消费量
1978年,,,1.3,0.8,,5.8,5.2,,0.25,247.83,,,141.5,0.8,1.22,1.97,0.73
1979年,,,1.5,0.7,,6.5,6.1,,0.3,256.7,,,131.2,0.9,1.4,2.4,0.8
1980年,,,1.4,1.1,,7.7,7.3,,0.66,257.16,,,127.21,1.2,1.89,2.49,1.06
1981年,,,1.9,1.3,,8.7,8.2,,0.7,256.1,,,124.0,1.3,2.3,3.1,1.1
1982年,,0.7,2.1,1.3,,9.1,8.4,,0.8,260.0,,,132.0,1.4,2.7,3.4,1.2
1983年,,0.8,2.2,1.6,,10.0,9.3,,0.8,259.9,,,131.0,1.6,3.2,3.5,1.3
1984年,,0.8,2.5,1.7,,10.6,9.9,,0.9,266.5,,,140.0,1.8,3.5,4.0,1.3
1985年,,0.8,2.6,1.64,,10.97,10.3,,1.03,257.45,,,131.13,2.05,4.37,4.04,1.46
1986年,,1.4,2.6,1.87,,11.79,11.1,,1.14,259.3,,,133.65,2.08,4.96,4.19,1.59
1987年,,1.1,3.1,2.0,,11.7,11.0,,1.2,259.4,,,130.4,2.3,5.5,4.7,1.7
1988年,,1.1,3.3,1.91,,10.71,10.1,,1.25,259.51,,,130.08,2.28,5.93,4.76,1.41
1989年,,1.0,3.3,2.1,,11.0,10.3,,1.28,262.28,,,133.38,2.41,5.95,4.81,1.54
1990年,,1.1,3.54,2.13,0.4,11.34,10.54,5.89,1.25,262.08,0.4,12.59,134.0,2.41,6.14,5.17,1.5
1991年,,1.3,3.9,2.21,,12.15,11.2,,1.34,255.58,,,126.97,2.73,6.38,5.65,1.4
1992年,,1.5,4.1,2.25,,11.83,10.9,,1.49,250.5,,,129.12,2.85,6.56,5.85,1.54
1993年,,0.9,4.1,2.76,,11.68,10.9,,1.62,251.81,,,107.43,2.88,6.53,5.66,1.43
1994年,,0.7,4.1,2.96,,11.0,10.2,,1.63,257.57,,,107.86,3.03,6.03,5.66,1.34
1995年,0.13,0.6,4.25,3.36,0.36,11.3,10.58,13.01,1.83,256.07,0.35,13.56,104.62,3.22,6.53,5.8,1.28
1996年,,0.8,4.5,3.68,,12.9,11.9,,1.93,256.19,,,106.26,3.35,7.11,6.07,1.37
1997年,,1.0,4.7,3.75,,12.72,11.5,,2.36,250.67,,,107.21,4.08,7.13,6.16,1.35
1998年,,0.93,4.59,3.66,,13.2,11.9,,2.33,248.9,,,108.96,4.11,6.98,6.13,1.4
1999年,,0.96,4.58,3.82,,13.87,12.7,,2.48,247.45,,,108.89,4.28,6.98,6.17,1.46
2000年,0.74,1.06,5.45,3.92,0.52,14.41,13.28,18.31,2.81,250.23,0.61,18.3,106.74,4.77,7.02,7.06,1.28
2001年,0.818115054215,1.2,5.51,4.12,0.55,14.5048389432,13.35,20.3308982674,2.87,238.62,0.6,18.2084964851,109.3,4.72,7.1,7.03,1.43
2002年,0.780146552397,1.19,5.77,4.36,0.52,14.87,13.7,18.7654061078,2.91,236.5,0.65,18.6,110.55,4.66,7.5,7.53,1.64
2003年,0.722620234961,1.7,5.3,4.65,0.5,15.04,13.8,17.5469349207,3.2,222.44,0.8,19.68,107.4,4.81,7.67,6.27,1.24
2004年,0.73,2.0,4.3,4.48525971716,0.5,14.7582978237,13.5,16.97,3.12701049378,218.26,0.8,19.24,106.61,4.59359019281,7.84035089861,5.29,1.11392429438
2005年,0.81,2.86387068375,4.9,4.93709722646,0.639969322376,17.0872229975,15.6166638147,17.18,3.66637668851,208.845524749,0.830589860424,22.42,102.282074886,4.71178381099,9.59364260144,6.01,1.12882303588
2006年,0.89,3.1,4.7,5.01468717946,0.7,17.03,15.5,19.09,3.50638355705,205.62,0.9,22.31,100.533298818,5.00459143219,9.97048964204,5.84,1.08703473336
2007年,1.04,3.52,5.06,5.36,0.68,14.88,13.37,19.43,3.86,199.48,0.83,20.54,98.99,4.72,10.18,5.96,1.07
2008年,0.93,3.429,5.36,5.24757,0.56,13.94,12.65,19.37,4.36,199.07,0.73,20.15,99.72,5.43357,9.668,6.25,1.1121
2009年,1.05,3.6,5.42,5.27,0.56,15.33,13.96,20.54,4.25,189.26,0.81,21.53,98.44,5.32,10.08,6.25,1.07
2010年,0.955373118243,3.55223739771,5.52365362487,5.1511689189,0.627666158348,15.83,14.403659811,19.6358952355,4.17379116296,181.44034301,0.804267961682,22.1534953884,93.2844931892,5.11759284644,9.73624163165,6.30565341639,1.03385379562
2011年,1.21,5.16,6.6,5.36,0.98,16.32,14.42,21.299171517,4.54,170.735376453,0.92,23.3013,89.36,5.39581867613,10.15,7.48,1.04
2012年,1.30253955567,5.28508489839,6.92603005481,5.35905374542,1.02212345779,16.3607138605,14.3979296903,22.8125095072,4.48968307867,164.267803917,0.940660712449,23.4547076964,84.7160798815,5.86798597816,10.0395569433,7.82638979056,1.18610220229
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
