,农村居民家庭平均每人交通通信消费支出,农村居民家庭平均每人其他消费支出,农村居民家庭平均每人医疗保健消费支出,农村居民家庭平均每人家庭设备及用品消费支出,农村居民家庭平均每人居住消费支出,农村居民家庭平均每人文教娱乐消费支出,农村居民家庭平均每人消费支出,农村居民家庭平均每人衣着消费支出,农村居民家庭平均每人食品消费支出
1978年,,,,,,,,,
1979年,,,,,,,,,
1980年,0.59,3.17,3.42,4.14,22.46,8.25,162.21,19.99,100.19
1981年,0.58,2.2,4.22,4.16,31.61,10.12,190.81,23.83,114.09
1982年,0.62,4.0,4.7,9.4,35.56,7.5,220.23,25.04,133.47
1983年,3.55,2.98,4.4,14.03,42.03,5.72,248.29,27.99,147.59
1984年,3.42,2.69,5.04,14.82,48.36,8.24,273.8,28.89,162.34
1985年,5.58,3.55,7.67,16.19,57.87,12.36,317.42,30.77,183.43
1986年,6.19,3.26,8.74,19.56,70.28,14.43,356.95,32.99,201.5
1987年,8.21,3.42,10.65,21.52,79.77,18.48,398.29,34.19,222.05
1988年,8.89,3.92,13.38,29.96,96.34,25.69,476.66,41.11,257.37
1989年,8.53,4.27,16.44,32.36,105.23,30.61,535.37,44.49,293.44
1990年,8.42,4.34,19.02,30.9,101.37,31.38,584.63,45.44,343.76
1991年,10.32,5.04,22.31,35.27,102.3,36.44,619.79,51.05,357.06
1992年,12.23,5.53,24.15,36.67,104.89,43.77,659.01,52.51,379.26
1993年,17.41,13.07,27.17,44.67,106.79,58.38,769.65,55.33,446.83
1994年,24.02,19.02,32.07,55.46,142.34,75.11,1016.81,70.32,598.47
1995年,33.76,23.06,42.48,68.48,182.21,102.39,1310.36,89.79,768.19
1996年,47.08,31.74,58.26,84.22,219.06,132.46,1572.08,113.77,885.49
1997年,53.92,34.27,62.45,85.41,233.23,148.18,1617.15,109.41,890.28
1998年,60.68,32.87,68.13,81.92,239.62,159.41,1590.33,98.06,849.64
1999年,68.73,34.32,70.02,82.27,232.69,168.33,1577.42,92.04,829.02
2000年,93.1314430288,52.4626540211,87.5651414234,75.4457824589,258.337494147,186.715266178,1670.13,95.9543999553,820.516518615
2001年,109.98,56.4151993306,96.6108719984,76.9791507046,279.05816618,192.643196351,1741.09,98.6846442556,830.721339722
2002年,128.53,57.66,103.94,80.35,300.16,210.31,1834.31,105.0,848.35
2003年,162.53,43.01,115.75,81.65,308.38,235.68,1943.3,110.265835349,886.03
2004年,192.633444935,48.2728821852,130.562460342,89.2262911295,324.251900374,247.628022388,2184.7,120.164261632,1031.91358956
2005年,244.984033271,54.5150730582,168.088020051,111.437172569,370.162596856,295.480155955,2555.39510522,148.565761589,1162.16229203
2006年,288.76,63.07,191.51,126.56,468.96,305.13,2829.02273275,168.04,1216.99
2007年,328.4,74.19,210.24,149.13,573.8,305.66,3223.85110342,193.45,1388.99
2008年,360.18,76.67,245.97,173.98,678.8,314.53,3660.68,211.8,1598.75
2009年,402.91,84.1,287.54,204.81,805.01,340.56,3993.45,232.5,1636.04
2010年,461.1,94.02,326.04,234.06,835.19,366.72,4381.81597143,264.03,1800.67
2011年,547.03,121.99,436.75,308.88,961.45,396.36,5221.13,341.34,2107.34
2012年,652.790273805,147.58244241,513.809238756,341.714871283,1086.35499236,445.493732741,5908.01957883,396.387801234,2323.88622623
2013年,,,,,,,,,
2014年,,,,,,,,,
