,农村居民家庭平均每人交通运输业、邮电业纯收入,农村居民家庭平均每人其他纯收入,农村居民家庭平均每人农业纯收入,农村居民家庭平均每人家庭经营纯收入,农村居民家庭平均每人工业纯收入,农村居民家庭平均每人工资性纯收入,农村居民家庭平均每人建筑业纯收入,农村居民家庭平均每人批发、零售贸易及餐饮业纯收入,农村居民家庭平均每人文教卫生业纯收入,农村居民家庭平均每人林业纯收入,农村居民家庭平均每人渔业纯收入,农村居民家庭平均每人牧业纯收入,农村居民家庭平均每人社会服务业纯收入,农村居民家庭平均每人纯收入,农村居民家庭平均每人财产性纯收入,农村居民家庭平均每人转移性纯收入
1978年,0.0,2.02,17.9,35.79,0.0,88.26,0.0,0.0,0.0,0.0,0.0,15.9,0.0,133.57,0.0,9.5
1979年,0.0,4.05,18.03,44.0,0.0,100.7,0.0,0.0,0.0,0.0,0.0,21.93,0.0,160.17,0.0,15.5
1980年,0.0,6.24,26.3,62.55,0.0,106.38,0.0,0.0,0.0,0.0,0.0,30.1,0.0,191.33,0.0,22.4
1981年,0.0,12.0,34.11,84.52,0.0,113.8,0.0,0.76,0.0,0.0,0.0,37.65,0.0,223.44,0.0,25.12
1982年,0.0,10.25,38.51,102.8,0.0,142.85,9.95,2.52,0.0,0.0,0.43,41.14,0.0,270.11,0.0,24.46
1983年,5.37,1.25,173.94,227.66,0.0,57.53,4.2,2.84,0.0,3.67,1.15,33.9,1.37,309.77,0.0,24.58
1984年,8.12,0.94,198.4,261.69,0.0,66.46,4.8,3.86,0.0,4.64,1.51,37.37,2.06,355.33,0.0,27.18
1985年,8.47,4.73,202.1,295.98,2.18,72.15,7.41,6.13,0.0,6.16,3.59,51.96,3.27,397.6,0.0,29.47
1986年,8.42,4.61,216.22,313.28,3.14,81.58,8.81,6.94,0.0,5.87,4.72,50.76,3.79,423.76,0.0,28.9
1987年,10.38,5.36,220.2,345.5,5.4,95.47,10.25,8.95,0.0,6.57,5.56,68.46,4.37,462.55,0.0,21.58
1988年,12.86,7.06,236.01,403.17,8.02,117.77,12.32,12.02,0.0,7.75,7.78,94.1,5.25,544.94,0.0,24.0
1989年,13.97,7.62,253.94,434.56,8.71,136.46,13.5,12.91,0.0,8.13,7.35,102.23,6.2,601.51,0.0,30.49
1990年,13.45,8.49,344.59,518.55,9.15,138.8,12.18,12.69,0.0,7.53,7.11,96.81,6.55,686.31,0.0,28.96
1991年,13.6,9.65,338.7025,523.59,8.56,151.92,11.9,12.63,0.0,8.48,8.19,105.1775,6.7,708.55,0.0,33.04
1992年,16.66,10.38,354.5225,561.57,9.34,184.38,14.81,15.62,0.0,9.6,8.86,113.8775,7.9,783.99,0.0,38.04
1993年,16.1,38.7,448.4,678.48,8.1,194.51,18.3,19.3,0.0,12.6,9.2,96.8,11.1,921.62,7.02,41.61
1994年,20.9,36.5,610.5,881.86,10.8,262.98,25.2,27.5,0.0,12.9,11.0,112.3,14.3,1220.98,28.55,47.59
1995年,27.76,41.97,799.44,1125.79,13.63,353.7,34.53,34.26,0.0,13.52,15.69,127.81,17.18,1577.74,40.98,57.27
1996年,36.0,48.52,955.08,1362.45,19.84,450.84,44.74,44.09,0.0,16.13,17.52,158.56,21.97,1926.07,42.59,70.19
1997年,46.2,48.02,976.15,1472.72,24.48,514.56,53.47,55.25,0.0,19.37,20.98,203.47,25.33,2090.13,23.6,79.25
1998年,50.24,50.91,962.7625,1466.0,27.32,573.58,52.78,62.33,0.0,18.67,22.44,188.5275,30.02,2161.98,30.37,92.03
1999年,56.73,52.72,918.27,1448.36,29.95,630.256231858,61.18,74.82,0.0,21.58,24.8,174.3,34.01,2210.34,31.5518425133,100.17456731
2000年,63.63,60.08,833.93,1427.27,52.6713567793,702.3,46.73,78.54,6.86,22.44,26.95,207.35,28.09,2253.42,45.04,78.81
2001年,63.2,53.4,863.6,1459.63,54.6,771.9,45.4,78.8,7.6,22.1,28.9,212.0,30.1,2366.4,46.97,87.9
2002年,69.4,48.68,866.67,1486.54,63.29,840.22,45.28,85.56,7.99,25.53,32.17,210.62,31.36,2475.63,50.68,98.19
2003年,68.9,39.39,885.71,1541.28,60.49,918.38,48.12,89.05,8.76,29.28,34.92,245.68,30.97,2622.24,65.75,96.83
2004年,72.9,32.94,1056.5,1745.79,58.65,998.46,49.56,94.07,8.35,34.13,36.34,271.08,31.26,2936.4,76.61,115.54
2005年,84.19,31.19,1097.71,1844.53,61.13,1174.53,47.12,108.55,10.13,45.77,42.52,283.6,32.61,3254.9,88.45,147.42
2006年,88.2105151385,33.9926221265,1159.55640503,1930.96209649,68.4882022937,1374.8,53.1799919864,118.150652336,12.4952882421,54.9742127926,41.1884902547,265.583986177,35.1417300118,3587.04,100.503647324,180.776314083
2007年,94.47,34.53,1303.76,2193.67,76.92,1596.22,60.66,128.8,14.34,59.19,47.11,335.06,38.84,4140.36,128.22,222.25
2008年,103.82,36.04,1426.96,2435.56,81.59,1853.73,67.41,142.09,16.89,66.18,55.19,397.52,41.88,4760.62,148.08,323.24
2009年,111.55,36.18,1497.93,2526.78,86.99,2061.25,77.5,161.57,18.95,69.63,60.25,360.36,45.88,5153.17,167.2,397.95
2010年,125.3990739,35.4422120336,1723.4938696,2832.8,93.3216817149,2431.05,88.7492680476,186.432956242,21.5627980386,87.6752660022,64.2798483743,355.562918667,50.8783807811,5919.01,202.25,452.92
2011年,153.047027489,32.7616580414,1896.67114039,3221.98,104.732998293,2963.43,87.9100342135,244.088689364,22.5616837952,99.4900120734,61.2131979201,462.537612001,56.9672716891,6977.29,228.57,563.32
2012年,180.097438514,32.7141084645,2106.83086917,3533.36627852,118.221064613,3447.46365626,95.5032829427,290.723167137,26.5191283359,103.746072556,70.6520442275,440.974621595,67.3844809575,7916.58,249.054319044,686.69623667
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
