,农村居民家庭平均每百户固定电话拥有量,农村居民家庭平均每百户彩色电视机拥有量,农村居民家庭平均每百户抽油烟机拥有量,农村居民家庭平均每百户摩托车拥有量,农村居民家庭平均每百户洗衣机拥有量,农村居民家庭平均每百户照相机拥有量,农村居民家庭平均每百户电冰箱拥有量,农村居民家庭平均每百户移动电话拥有量,农村居民家庭平均每百户空调机拥有量,农村居民家庭平均每百户自行车拥有量,农村居民家庭平均每百户计算机拥有量,农村居民家庭平均每百户黑白电视机拥有量
1978年,,,,,,,,,,30.75,,
1979年,,,,,,,,,,36.2,,
1980年,,,,,,,,,,36.87,,0.39
1981年,,,,,,,,,,44.41,,0.87
1982年,,,,,,,,,,51.5,,1.68
1983年,,,,,0.36,,,,,63.41,,3.99
1984年,,,,,0.97,,,,,74.48,,7.24
1985年,,0.8,,,1.9,0.2,0.06,,,80.64,,10.94
1986年,,1.52,,0.58,3.22,0.33,0.2,,,90.31,,15.76
1987年,,2.34,,0.56,4.78,0.5,0.31,,,98.52,,22.04
1988年,,2.8,,0.91,6.79,0.63,0.63,,,107.49,,28.64
1989年,,3.63,,0.95,8.15,0.79,0.89,,,113.43,,33.91
1990年,,4.72,,0.89,9.12,0.7,1.22,,,118.33,,39.72
1991年,,6.44,,1.1,10.99,0.87,1.64,,,121.64,,47.53
1992年,,8.08,,1.42,12.23,1.0,2.17,,,125.66,,52.44
1993年,,10.86,0.27,2.14,13.82,0.99,3.05,,0.05,133.39,,58.3
1994年,,13.52,0.38,3.19,15.3,1.16,4.0,,0.09,136.5,,61.77
1995年,,16.92,0.61,4.91,16.9,1.42,5.15,,0.18,147.02,,63.81
1996年,,22.91,0.89,8.4,20.54,1.94,7.27,,0.29,139.12,,65.06
1997年,,27.32,2.31,10.89,21.87,2.06,8.49,,0.38,141.95,,65.12
1998年,,32.59,1.66,13.52,22.81,2.22,9.25,,0.58,137.15,,63.57
1999年,,38.24,2.33,16.49,24.32,2.69,10.64,,0.74,136.85,,62.35
2000年,26.38,48.74,2.75,21.94,28.58,3.12,12.31,4.32,1.32,120.48,0.47,52.97
2001年,34.11,54.41,3.15,24.71,29.94,3.23,13.59,8.06,1.7,120.83,0.69,50.74
2002年,40.77,60.45,3.58,28.07,31.8,3.34,14.83,13.67,2.29,121.32,1.1,48.14
2003年,49.06,67.8,4.11,31.8,34.27,3.36,15.89,23.68,3.45,118.5,1.4,42.8
2004年,54.54,75.1,4.81,36.15,37.32,3.68,17.75,34.72,4.7,118.15,1.9,37.92
2005年,58.37,84.08,5.97741604341,40.7,40.2,4.04751429828,20.1,50.24,6.4,98.3708754949,2.1,21.7685877695
2006年,64.09,89.43,7.02742337586,44.59,42.98,4.18096495087,22.48,62.05,7.28,98.7432174806,2.7,17.4453732219
2007年,68.36,94.38,8.14342278927,48.52,45.94,4.3,26.12,77.84,8.54,97.7386713594,3.68,12.1381434228
2008年,67.01,99.22,8.51,52.45,49.11,4.43,30.19,96.13,9.82,97.58,5.36,9.88
2009年,62.68,108.94,9.75,56.64,53.14,4.76,37.11,115.24,12.23,96.45,7.46,7.65
2010年,60.76,111.79,11.11,59.02,57.32,5.17,45.19,136.54,16.0,95.98,10.37,6.38
2011年,43.1136302639,115.460767116,13.2297771915,60.8519252774,62.57,4.54709230894,61.54,179.737122887,22.58,77.1132611397,17.9630502953,1.65767679263
2012年,42.2391521068,116.896973256,14.6869241852,62.1970681514,67.2208069903,5.17749973168,67.321439097,197.795077893,25.3614422711,78.9715259275,21.3641212296,1.43770869851
2013年,,,,,,,,,,,,
2014年,,,,,,,,,,,,
