,城乡居民人民币储蓄存款年增加额,城乡居民人民币储蓄存款年底余额,城乡居民人民币定期储蓄存款年增加额,城乡居民人民币定期储蓄存款年底余额,城乡居民人民币活期储蓄存款年增加额,城乡居民人民币活期储蓄存款年底余额
1978年,29.0,210.6,17.2,128.9,11.8,81.7
1979年,70.4,281.0,37.5,166.4,32.9,114.6
1980年,114.8,395.8,138.5,304.9,-23.7,90.9
1981年,127.6,523.4,91.5,396.4,36.1,127.0
1982年,152.0,675.4,122.9,519.3,29.1,156.1
1983年,217.5,892.9,163.1,682.4,54.4,210.5
1984年,321.8,1214.7,218.5,900.9,103.3,313.8
1985年,407.9,1622.6,324.3,1225.2,83.6,397.4
1986年,615.2,2237.8,504.0,1729.2,111.2,508.6
1987年,845.6,3083.4,628.6,2357.8,217.0,725.6
1988年,735.7,3819.1,487.5,2845.3,248.2,973.8
1989年,1365.4,5184.5,1363.2,4208.5,2.2,976.0
1990年,1935.1,7119.6,1700.9,5909.4,234.2,1210.2
1991年,2125.3,9244.9,1725.5,7634.9,399.8,1610.0
1992年,2512.4,11757.3,1810.1,9445.0,702.3,2312.3
1993年,3446.24,15203.5,2663.34,12108.34,782.9,3095.16
1994年,6315.26,21518.8,4730.36,16838.7,1584.9,4680.1
1995年,8143.46,29662.3,6939.55,23778.25,1203.91,5884.05
1996年,8858.58,38520.8,7094.96,30873.21,1763.62,7647.59
1997年,7758.96,46279.8,5353.53,36226.74,2405.43,10053.06
1998年,7127.67,53407.47,5564.83,41791.57,1562.84,11615.9
1999年,6214.36,59621.83,3163.54,44955.11,3050.82,14666.72
2000年,4710.55,64332.38,1186.55,46141.66,3524.0,18190.72
2001年,9430.05,73762.43,5293.2,51434.86,4136.85,22327.57
2002年,13148.22,86910.65,7354.08,58788.94,5794.14,28121.71
2003年,16707.0,103617.65,9709.73,68498.67,6997.27,35118.98
2004年,15937.74,119555.39,9640.19,78138.86,6297.55,41416.53
2005年,21495.6,141050.99,14124.68,92263.54,7370.92,48787.45
2006年,20544.0,161587.3,10777.3,103011.38,9766.7,58575.92
2007年,10946.9,172534.19,1923.1,104934.45,9023.8,67599.74
2008年,45351.16,217885.35,34365.71,139300.16,10985.45,78585.19
2009年,42886.31,260771.66,20930.22,160230.38,21956.09,100541.28
2010年,42530.84,303302.490013,18183.52,178413.9,24347.32,124888.6
2011年,40333.39,343635.890089,0.0,0.0,0.0,0.0
2012年,55915.2,399551.0,0.0,0.0,0.0,0.0
2013年,48050.56,447601.574349,0.0,0.0,0.0,0.0
2014年,37659.74,485261.3,0.0,0.0,0.0,0.0
