,农村居民家庭人均纯收入,农村居民家庭人均纯收入指数(1978=100),农村居民家庭恩格尔系数,城镇居民家庭人均可支配收入,城镇居民家庭人均可支配收入指数(1978=100),城镇居民家庭恩格尔系数
1978年,133.57,100.0,67.7,343.4,100.0,57.5
1979年,160.17,119.20341394,63.96,405.0,115.74,
1980年,191.33,138.991180654,61.8,477.6,127.02,56.9
1981年,223.44,160.395822475,59.86,500.4,129.87,56.7
1982年,270.11,192.314591148,60.67,535.3,136.27,58.649
1983年,309.77,219.623263091,59.41,564.6,141.52,59.2
1984年,355.33,249.492026871,59.17,652.1,158.72,57.957
1985年,397.6,268.94,57.8,739.1,160.39,53.31
1986年,423.76,277.558881926,56.36,900.9,182.68,52.44
1987年,462.55,291.991943786,55.75,1002.1,186.82,53.47
1988年,544.94,310.679428188,53.99,1180.2,182.32,51.36
1989年,601.51,305.708557337,54.81,1373.9319,182.53,54.499
1990年,686.31,311.2,58.8,1510.2,198.1,54.24
1991年,708.55,317.43,57.6,1700.6,212.37,53.8
1992年,783.99,336.15,57.6,2026.6,232.91,53.044450958
1993年,921.62,346.91,58.1,2577.4,255.13,50.3167030666
1994年,1220.98,364.3,58.9,3496.2,276.83,50.0392797772
1995年,1577.74,383.6,58.6,4283.0,290.34,50.0905989139
1996年,1926.07,418.1,56.3,4838.9,301.56,48.7609294114
1997年,2090.13,437.3,55.1,5160.3,311.85,46.5950248946
1998年,2161.98,456.1,53.4,5425.1,329.94,44.6609921022
1999年,2210.34,473.54,52.6,5854.02,360.62,42.0679779285
2000年,2253.42,483.4,49.1,6280.0,383.69,39.4421768707
2001年,2366.4,503.7,47.7,6859.6,416.3,38.1990239235
2002年,2475.63,527.9,46.2,7702.8,472.130857963,37.6763716691
2003年,2622.24,550.6,45.6,8472.2,514.6,37.1
2004年,2936.4,588.0,47.2,9421.6,554.2,37.7
2005年,3254.9,624.5,45.5,10493.0,607.4,36.7
2006年,3587.04,670.7,43.0,11759.45,670.7,35.8
2007年,4140.36,734.4,43.1,13785.79,752.5,36.2894812388
2008年,4760.62,793.152,43.67,15780.76,815.7,37.8890583793
2009年,5153.17,860.57,40.9679,17174.65,895.4,36.5161379749
2010年,5919.01,954.37213,41.0940731197,19109.44,965.2,35.7
2011年,6977.29,1063.17055282,40.3617,21809.78,1046.3214608,36.3
2012年,7916.58,1176.92980197,39.33443678,24564.72,1146.7,36.2284638894
2013年,,,,,,
2014年,,,,,,
