,住房租金类农村居民消费价格指数(上年=100),居住类农村居民消费价格指数(上年=100),建房及装修材料类农村居民消费价格指数(上年=100),水电燃料类农村居民消费价格指数(上年=100),自有住房类农村居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0
1997年,0.0,104.7,0.0,110.1,0.0
1998年,109.9,98.8,95.1,100.6,0.0
1999年,107.7,99.9,97.3,101.1,0.0
2000年,104.4,102.8,98.8,106.7,99.8
2001年,102.8,100.3,99.1,103.0,100.2
2002年,102.3,100.1,98.3,103.9,100.4
2003年,101.5124,100.9751,99.709,103.893,100.1355
2004年,102.6294,105.7976,104.8424,109.1028,101.146
2005年,103.2609,105.216,102.6692,110.3415,102.0061
2006年,103.81234401,104.55243384,103.88322604,105.83265873,103.25336242
2007年,106.06873716,104.44131663,105.12794775,103.0174874,105.73978708
2008年,103.82258499,108.16946119,107.59888341,110.79659801,103.96163547
2009年,101.43796522,98.51179026,99.64486099,98.4869178,92.99573793
2010年,104.3,104.5,103.5,106.2,102.9
2011年,105.17071759,105.73155511,105.84373667,104.88253744,106.25454754
2012年,103.20301737,101.93008045,100.94851858,102.4087313,102.15525304
2013年,104.72458,102.32236362,101.1402955,100.85043998,103.76987121
2014年,103.33325721,101.9100052,100.93279619,100.01248228,103.54342453
