,儿童服装类农村居民消费价格指数(上年=100),女式服装类农村居民消费价格指数(上年=100),帽子类农村居民消费价格指数(上年=100),服装类农村居民消费价格指数(上年=100),男式服装类农村居民消费价格指数(上年=100),衣着加工服务费类农村居民消费价格指数(上年=100),衣着材料类农村居民消费价格指数(上年=100),衣着类农村居民消费价格指数(上年=100),袜子类农村居民消费价格指数(上年=100),鞋类农村居民消费价格指数(上年=100),鞋袜帽类农村居民消费价格指数(上年=100)
1978年,,,,,,,,,,,
1979年,,,,,,,,,,,
1980年,,,,,,,,,,,
1981年,,,,,,,,,,,
1982年,,,,,,,,,,,
1983年,,,,,,,,,,,
1984年,,,,,,,,,,,
1985年,,,,,,,,,,,
1986年,,,,,,,,,,,
1987年,,,,,,,,,,,
1988年,,,,,,,,,,,
1989年,,,,,,,,,,,
1990年,,,,,,,,,,,
1991年,,,,,,,,,,,
1992年,,,,,,,,,,,
1993年,,,,,,,,,,,
1994年,,,,,,,,,,,
1995年,,,,,,,,,,,
1996年,,,,,,,,,,,
1997年,,,103.9,102.9,,,101.4,102.8,102.2,104.0,
1998年,,,100.4,99.0,,,99.0,99.3,99.9,99.9,
1999年,,,,96.8,,,97.6,97.3,,,
2000年,,,98.6,98.7,,,98.1,98.6,99.2,99.1,99.1
2001年,98.8,97.8,99.1,98.2,98.3,100.4,99.8,98.9,100.2,99.8,99.8
2002年,98.8,98.0,98.0,98.0,97.4,98.9,99.1,98.4,99.6,98.7,98.9
2003年,99.3,98.4,98.9,98.4717,97.9,100.7817,99.8141,98.5705,99.3,98.1,98.3787
2004年,98.7,97.9,99.0,98.1002,97.9,100.7721,100.4602,98.4436,99.3,98.4,98.5556
2005年,99.6,98.7,100.5,98.6759,98.2,101.0715,100.3923,99.0523,100.7,99.1,99.4231
2006年,100.6,98.7,100.6,99.05900079,98.7,101.30453517,100.76321389,99.55044801,100.3,100.4,100.35465788
2007年,100.6,99.9,100.4,99.84233877,99.4,102.31391607,101.90210438,100.16263671,100.4,100.5,100.47790811
2008年,101.2,98.2,99.9,98.81371164,98.3,103.02117186,103.01136908,99.35706872,100.3,99.7,99.7599593
2009年,99.6,97.6,100.1,98.0738678,97.9,102.50502637,100.72183606,98.42941458,99.8,98.3,98.60442393
2010年,99.9,99.3,100.2,99.2,98.7,102.3,103.1,99.4,101.3,98.5,99.0
2011年,103.4,101.5,101.7,101.95873535,101.9,106.03797175,109.40705249,101.89640669,102.7,100.4,100.70200062
2012年,104.6,103.6,103.5,103.91730819,104.0,106.70888384,103.69051881,103.79140936,103.6,103.2,103.29088608
2013年,103.2,102.4,101.8,102.70776557,102.8,107.41913131,103.1795838,102.54129491,101.7,101.7,101.71369694
2014年,,,,102.44718531,,105.96070424,103.10427072,102.35183115,,,101.76308853
