,交通和通信类居民消费价格指数(上年=100),交通工具类居民消费价格指数(上年=100),交通类居民消费价格指数(上年=100),城市间交通费类居民消费价格指数(上年=100),市区公共交通费类居民消费价格指数(上年=100),车用燃料及零配件类居民消费价格指数(上年=100),车辆使用及维修费类居民消费价格指数(上年=100),通信工具类居民消费价格指数(上年=100),通信服务类居民消费价格指数(上年=100),通信类居民消费价格指数(上年=100)
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,,,,,,,,
1986年,,,,,,,,,,
1987年,,,,,,,,,,
1988年,,,,,,,,,,
1989年,,,,,,,,,,
1990年,,,,,,,,,,
1991年,,,,,,,,,,
1992年,,,,,,,,,,
1993年,,,,,,,,,,
1994年,107.8,,,,,,,,,
1995年,99.9,,,,,,,,,
1996年,98.8,,,,,,,,,
1997年,97.4,,,,,,,,,
1998年,95.8,96.5,,,,,,93.9,,
1999年,94.5,95.8,94.5,,,,,91.9,,
2000年,93.8,95.9,93.8,,,,,89.9,,
2001年,99.0014,96.4438,101.0069,103.9809,105.8162,99.024,100.4067,80.5191,101.0508,96.8395
2002年,98.0927,94.9928,99.0712,101.7839,101.9169,98.5383,99.9776,83.5381,100.2725,97.1564
2003年,97.7976,95.8661,99.5079,101.4324,100.6208,108.2751,98.8647,82.1221,99.3925,96.1244
2004年,98.521,96.4523,100.3613,102.5092,101.0143,107.7155,101.0353,84.2751,99.8225,96.7923
2005年,99.0111,97.2544,101.4644,103.2649,102.1816,110.3454,101.9573,84.0887,99.6473,96.6232
2006年,99.90508,97.80608,103.22925,105.61769,104.79348,112.7706,102.38078,82.21035,99.97484,96.37632
2007年,99.07475,97.74767,100.81928,102.9889,101.31741,103.53616,102.43634,81.75699,100.60875,97.12932
2008年,99.07531,98.37531,102.15781,104.30414,100.54164,113.5137,100.7825,80.73993,98.82554,95.56386
2009年,97.55447,98.01674,98.63866,100.54598,100.60708,92.80658,101.13399,81.73332,99.50569,96.26804
2010年,99.64886,98.66955,101.67216,101.671,100.66998,111.47997,101.67363,86.46133,99.68288,97.28782
2011年,100.50242129,99.02646554,102.63936669,102.72771657,101.74622562,111.6593145,103.81471568,87.04604176,99.765689,97.50691942
2012年,99.88183007,99.2057681,101.16058562,101.63408707,101.41461574,102.86148016,104.51088803,87.76185042,99.92279507,97.99493132
2013年,99.60524049,98.80582496,100.15883064,101.02857843,100.87762077,99.35134474,104.02517636,91.81912351,99.91080336,98.76198899
2014年,99.88401453,99.17005582,100.20981746,101.41079361,101.24854012,98.71888042,102.9648414,95.71281366,99.9384821,99.38071882
