,服装类居民消费价格指数(上年=100),衣着加工服务费类居民消费价格指数(上年=100),衣着材料类居民消费价格指数(上年=100),衣着类居民消费价格指数(上年=100),鞋袜帽类居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,117.1,0.0
1995年,0.0,0.0,0.0,114.5,0.0
1996年,0.0,0.0,0.0,107.4,0.0
1997年,0.0,0.0,0.0,103.0,0.0
1998年,98.9,0.0,98.8,99.2,0.0
1999年,96.6,0.0,97.6,97.3,0.0
2000年,99.1,0.0,98.3,99.1,99.8
2001年,97.6422,100.287,98.8465,98.1216,98.9672
2002年,97.3582,99.9049,98.9006,97.6383,98.0292
2003年,97.6366,100.1277,99.1768,97.7756,97.7306
2004年,98.3476,100.6504,100.1662,98.4758,98.348
2005年,98.1481,101.0932,100.0161,98.3133,98.2587
2006年,99.02929,101.5054,100.49756,99.43146,100.24812
2007年,99.44046,102.26789,101.62266,99.4309,99.01077
2008年,98.32709,104.14547,102.37006,98.50116,98.22909
2009年,97.8221,103.51727,100.91525,97.98759,97.80647
2010年,99.10114,102.8859,102.95587,99.02176,98.19392
2011年,102.40178753,107.33484868,109.18784732,102.12294108,100.66475728
2012年,103.3311582,107.07482556,103.52391412,103.12750801,102.33135966
2013年,102.44153916,106.81100252,102.24159965,102.27958935,101.58619309
2014年,102.55373612,105.22234007,102.28829448,102.42415594,101.90927855
