,中外合作经营连锁餐饮企业统一配送商品购进额,中外合资经营连锁餐饮企业统一配送商品购进额,其他外商投资连锁餐饮企业统一配送商品购进额,其他有限责任公司连锁餐饮企业统一配送商品购进额,其他港澳台商投资连锁餐饮企业统一配送商品购进额,其他连锁餐饮企业统一配送商品购进额,其他餐饮企业服务业统一配送商品购进额,内资连锁餐饮企业统一配送商品购进额,国有独资公司连锁餐饮企业统一配送商品购进额,国有连锁餐饮企业统一配送商品购进额,外商投资股份有限公司连锁餐饮企业统一配送商品购进额,外商投资连锁餐饮企业统一配送商品购进额,外资连锁餐饮企业统一配送商品购进额,快餐服务业统一配送商品购进额,有限责任公司连锁餐饮企业统一配送商品购进额,正餐服务业统一配送商品购进额,港、澳、台商合作经营连锁餐饮企业统一配送商品购进额,港、澳、台商合资经营连锁餐饮企业统一配送商品购进额,港、澳、台商投资股份有限公司连锁餐饮企业统一配送商品购进额,港、澳、台商投资连锁餐饮企业统一配送商品购进额,港、澳、台商独资经营连锁餐饮企业统一配送商品购进额,私营合伙连锁餐饮企业统一配送商品购进额,私营有限责任公司连锁餐饮企业统一配送商品购进额,私营独资连锁餐饮企业统一配送商品购进额,私营股份有限公司连锁餐饮企业统一配送商品购进额,私营连锁餐饮企业统一配送商品购进额,股份合作连锁餐饮企业统一配送商品购进额,股份有限公司连锁餐饮企业统一配送商品购进额,连锁餐饮企业统一配送商品购进额,集体连锁餐饮企业统一配送商品购进额,饮料及冷饮服务业统一配送商品购进额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,,
2005年,,,,,,,1.1024,,,,,,,67.4313,,39.8871,,,,,,,,,,,,,109.1,,0.6304
2006年,,,,,,,3.7577,,,,,,,92.4487,,52.6923,,,,,,,,,,,,,127.5,,3.125
2007年,,,,,,,4.076,,,,,,,116.0897,,47.0137,,,,,,,,,,,,,168.8015,,1.6221
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.51738,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.8409,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.7571,,
2011年,0.43831,44.9607,,27.26523,,1.10557,4.6828,88.23852,,0.06927,8.9606,207.57376,153.21415,237.74917,27.26523,93.51392,1.1313,19.62617,,47.25908,26.50161,,33.77556,0.7332,7.58714,42.0959,0.8464,15.65231,343.07136,1.20384,7.12547
2012年,0.48426,51.5776,,31.53259,,0.06808,4.80944,98.08558,,0.88001,,240.57748,188.51562,275.92025,31.53259,95.12014,1.02008,14.1431,,49.81324,34.65006,,37.66853,1.35734,5.96226,44.98813,0.05342,19.33849,388.4763,1.22486,12.62647
2013年,,52.4252,,35.1374,,0.0433,5.2943,97.9764,,1.0502,0.2888,250.277,197.563,278.7806,35.1374,100.9223,0.95,12.2264,,52.4677,39.2912,,39.5121,3.1748,3.6458,46.3327,0.1185,14.5198,400.7211,0.7746,15.724
2014年,,53.7422,0.4457,40.6396,,0.0449,6.0894,109.4862,,0.9709,0.1685,246.6364,192.28,278.0613,40.6396,108.9328,0.8376,13.2859,,57.7544,43.6309,,42.3808,5.4585,3.9389,51.7782,0.0913,15.2999,413.8769,0.6613,20.7934
