,一般旅馆年末从业人数,中外合作经营住宿业企业年末从业人数,中外合资经营住宿业企业年末从业人数,住宿业企业年末从业人数,其他住宿业企业年末从业人数,其他住宿服务年末从业人数,其他外商投资住宿业企业年末从业人数,其他有限责任公司住宿业企业年末从业人数,其他港澳台商投资住宿业企业年末从业人数,其他联营住宿业企业年末从业人数,内资住宿业企业年末从业人数,国有与集体联营住宿业企业年末从业人数,国有住宿业企业年末从业人数,国有独资公司住宿业企业年末从业人数,国有联营住宿业企业年末从业人数,外商投资住宿业企业年末从业人数,外商投资股份有限公司住宿业企业年末从业人数,外资住宿业企业年末从业人数,旅游饭店年末从业人数,有限责任公司住宿业企业年末从业人数,港、澳、台商合作经营住宿业企业年末从业人数,港、澳、台商合资经营住宿业企业年末从业人数,港、澳、台商投资住宿业企业年末从业人数,港、澳、台商投资股份有限公司住宿业企业年末从业人数,港、澳、台商独资经营住宿业企业年末从业人数,私营住宿业企业年末从业人数,私营合伙住宿业企业年末从业人数,私营有限责任公司住宿业企业年末从业人数,私营独资住宿业企业年末从业人数,私营股份有限公司住宿业企业年末从业人数,联营住宿业企业年末从业人数,股份合作住宿业企业年末从业人数,股份有限公司住宿业企业年末从业人数,集体住宿业企业年末从业人数,集体联营住宿业企业年末从业人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,86184.0,25841.0,53806.0,1282173.0,6891.0,14358.0,,216296.0,,2403.0,1057812.0,4319.0,424171.0,17014.0,9552.0,96238.0,976.0,15615.0,1181631.0,233310.0,30287.0,80955.0,128123.0,910.0,15971.0,226445.0,10536.0,150105.0,50593.0,15211.0,18155.0,21910.0,51214.0,75716.0,1881.0
2005年,,26848.0,61047.0,1529270.0,10474.0,,,297946.0,,2765.0,1269901.0,2844.0,471377.0,23813.0,8999.0,109828.0,1202.0,20731.0,,321759.0,35694.0,93548.0,149541.0,1873.0,18426.0,272006.0,10656.0,187895.0,54636.0,18819.0,16143.0,24994.0,72331.0,80817.0,1535.0
