,中外合作经营企业餐饮业法人企业数,中外合资经营企业餐饮业法人企业数,其他企业餐饮业法人企业数,其他外商投资企业餐饮业法人企业数,其他有限责任公司餐饮业法人企业数,其他港澳台商投资企业餐饮业法人企业数,其他联营企业餐饮业法人企业数,其他餐饮服务业法人企业数,内资企业餐饮业法人企业数,国有与集体联营企业餐饮业法人企业数,国有企业餐饮业法人企业数,国有独资公司餐饮业法人企业数,国有联营企业餐饮业法人企业数,外商投资企业餐饮业法人企业数,外商投资股份有限公司餐饮业法人企业数,外资企业餐饮业法人企业数,快餐服务业法人企业数,有限责任公司餐饮业法人企业数,正餐服务业法人企业数,港、澳、台商合作经营企业餐饮业法人企业数,港、澳、台商合资经营企业餐饮业法人企业数,港、澳、台商投资企业餐饮业法人企业数,港、澳、台商投资股份有限公司餐饮业法人企业数,港、澳、台商独资经营企业餐饮业法人企业数,私营企业餐饮业法人企业数,私营合伙企业餐饮业法人企业数,私营有限责任公司餐饮业法人企业数,私营独资企业餐饮业法人企业数,私营股份有限公司餐饮业法人企业数,联营企业餐饮业法人企业数,股份合作企业餐饮业法人企业数,股份有限公司餐饮业法人企业数,集体企业餐饮业法人企业数,集体联营企业餐饮业法人企业数,餐饮业法人企业数,饮料及冷饮服务业法人企业数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47578.0,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45201.0,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48240.0,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266.0,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508.0,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4132.0,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5021.0,
2003年,53.0,133.0,55.0,,870.0,,15.0,,5277.0,2.0,723.0,5.0,10.0,273.0,4.0,83.0,,875.0,,80.0,192.0,385.0,7.0,106.0,2626.0,191.0,1473.0,848.0,114.0,32.0,266.0,184.0,516.0,5.0,5935.0,
2004年,105.0,199.0,79.0,,1435.0,,23.0,227.0,9191.0,5.0,596.0,16.0,11.0,484.0,9.0,171.0,380.0,1451.0,9395.0,69.0,178.0,392.0,1.0,144.0,5993.0,377.0,3739.0,1479.0,398.0,49.0,332.0,230.0,461.0,10.0,10067.0,65.0
2005年,89.0,177.0,188.0,,1382.0,,15.0,,9099.0,3.0,580.0,16.0,9.0,458.0,12.0,180.0,,1398.0,,59.0,152.0,365.0,3.0,151.0,5893.0,365.0,3605.0,1582.0,341.0,35.0,319.0,245.0,441.0,8.0,9922.0,
