,中级女教练员发展人数,中级教练员发展人数,初级女教练员发展人数,初级教练员发展人数,国家级女教练员发展人数,国家级教练员发展人数,等级女教练员发展人数,等级教练员发展人数,高级女教练员发展人数,高级教练员发展人数
1978年,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0
2010年,122,483,170,602,24,74,388,1451,72,292
2011年,84,332,194,539,3,13,326,1045,45,161
2012年,59,192,119,402,4,72,211,767,28,101
2013年,0,0,0,0,7,75,417,1518,67,247
2014年,0,0,0,0,10,35,475,1648,81,293
