,人民检察院一审出庭公诉案件数,人民检察院军人违反职责一审出庭公诉案件数,人民检察院刑事案件一审出庭公诉案件数,人民检察院渎职侵权一审出庭公诉案件数,人民检察院贪污贿赂一审出庭公诉案件数
1978年,0,0,0,0,0
1979年,0,0,0,0,0
1980年,0,0,0,0,0
1981年,0,0,0,0,0
1982年,0,0,0,0,0
1983年,0,0,0,0,0
1984年,0,0,0,0,0
1985年,0,0,0,0,0
1986年,0,0,0,0,0
1987年,0,0,0,0,0
1988年,0,0,0,0,0
1989年,0,0,0,0,0
1990年,0,0,0,0,0
1991年,0,0,0,0,0
1992年,0,0,0,0,0
1993年,0,0,0,0,0
1994年,0,0,0,0,0
1995年,0,0,0,0,0
1996年,0,0,0,0,0
1997年,0,0,0,0,0
1998年,0,0,0,0,0
1999年,0,0,0,0,0
2000年,0,0,0,0,0
2001年,0,0,0,0,0
2002年,0,0,0,0,0
2003年,0,0,0,0,0
2004年,0,0,0,0,0
2005年,0,0,0,0,0
2006年,0,0,0,0,0
2007年,400899,1,380945,2939,17014
2008年,427113,5,404671,3507,18930
2009年,435149,3,412410,3790,18946
2010年,451451,2,425032,4558,21859
2011年,466795,0,442413,4527,19855
2012年,538654,1,509267,5816,23570
2013年,396010,0,371321,5481,19208
2014年,0,0,0,0,0
