,人民检察院二审上诉案案件数,人民检察院军人违反职责二审上诉案案件数,人民检察院刑事案件二审上诉案案件数,人民检察院渎职侵权二审上诉案案件数,人民检察院贪污贿赂二审上诉案案件数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,8737.0,,8075.0,52.0,610.0
2008年,9265.0,,8565.0,62.0,638.0
2009年,9192.0,,8508.0,72.0,612.0
2010年,9307.0,,8448.0,65.0,794.0
2011年,10360.0,,9514.0,76.0,770.0
2012年,14453.0,,13312.0,107.0,1034.0
2013年,,,,,
2014年,,,,,
