,人民检察院二审刑事案件维持原判案件数,人民检察院二审渎职侵权案件维持原判案件数,人民检察院二审维持原判案件数,人民检察院二审贪污贿赂案件维持原判案件数,人民检察院再审刑事案件维持原判案件数,人民检察院再审渎职侵权案件维持原判案件数,人民检察院再审维持原判案件数,人民检察院再审贪污贿赂案件维持原判案件数,人民检察院维持原判案件数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0
2007年,442,29,568,97,34,3,46,9,614
2008年,448,31,567,88,27,3,41,11,608
2009年,528,19,653,106,41,3,47,3,700
2010年,700,28,856,128,64,2,79,13,935
2011年,655,26,812,131,96,6,124,22,936
2012年,626,15,779,138,53,3,71,15,850
2013年,592,16,740,132,56,0,67,4,807
2014年,701,33,881,147,48,2,58,8,939
