,人民检察院办理民事、行政抗诉案件,人民检察院民事、行政其他案件数,人民检察院民事、行政发回重审案件数,人民检察院民事、行政抗诉案件再审案件数,人民检察院民事、行政抗诉案件数,人民检察院民事、行政提请抗诉案件数,人民检察院民事、行政撤回抗诉案件数,人民检察院民事、行政改判案件数,人民检察院民事、行政立案案件数,人民检察院民事、行政维持原判案件数,人民检察院民事、行政调解案件数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0
2007年,0,430,248,8175,11817,14021,44,3313,37284,2199,1985
2008年,0,360,343,7565,11459,13614,19,3326,36061,1881,1655
2009年,0,471,703,7787,11556,14039,57,3026,41558,1710,1877
2010年,0,454,1023,9719,12139,15367,27,3791,81451,1863,2588
2011年,0,341,960,8239,10332,13489,35,3124,66363,1509,2305
2012年,0,303,876,7272,10506,14592,0,2691,65366,1075,2327
2013年,0,488,686,5962,6018,6016,0,2225,164029,1183,1380
2014年,0,265,518,3770,4299,6326,0,1613,0,860,514
