,人民检察院行政其他案件数,人民检察院行政发回重审案件数,人民检察院行政抗诉案件再审案件数,人民检察院行政抗诉案件数,人民检察院行政提请抗诉案件数,人民检察院行政撤回抗诉案件数,人民检察院行政改判案件数,人民检察院行政案件,人民检察院行政立案案件数,人民检察院行政维持原判案件数,人民检察院行政调解案件数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0
2007年,21,13,532,467,653,1,126,0,1860,139,233
2008年,14,12,218,493,479,0,63,0,1840,118,11
2009年,103,16,318,330,459,1,86,0,2068,100,13
2010年,26,16,234,388,548,1,100,0,4809,82,10
2011年,12,20,165,310,511,2,55,0,3866,57,21
2012年,7,23,150,262,524,0,47,0,3682,65,8
2013年,11,33,181,291,407,0,68,0,30988,63,6
2014年,9,19,161,235,416,0,48,0,0,62,23
