,人民检察院决定起诉案件数,人民检察院决定起诉的侵犯公民人身、民主权利案件数,人民检察院决定起诉的侵犯财产案件数,人民检察院决定起诉的公安、安全、监狱机关提请件数,人民检察院决定起诉的军人违反职责案件数,人民检察院决定起诉的危害公共安全案件数,人民检察院决定起诉的危害国家安全案件数,人民检察院决定起诉的危害国防利益案件数,人民检察院决定起诉的妨害社会管理秩序案件数,人民检察院决定起诉的检察机关直接立案侦查案件件数,人民检察院决定起诉的渎职侵权案件数,人民检察院决定起诉的破坏社会主义市场经济秩序案件数,人民检察院决定起诉的贪污贿赂案件数
1978年,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,
1998年,403145.0,95503.0,205915.0,380445.0,28.0,27141.0,186.0,96.0,43520.0,22700.0,2129.0,8056.0,20571.0
1999年,464784.0,110197.0,231303.0,443377.0,13.0,34178.0,248.0,101.0,54084.0,21407.0,1878.0,13253.0,19529.0
2000年,480119.0,119130.0,224415.0,456376.0,9.0,39249.0,270.0,148.0,57754.0,23743.0,2158.0,15401.0,21585.0
2001年,569968.0,134331.0,267130.0,545749.0,5.0,51751.0,318.0,166.0,77928.0,24219.0,2437.0,14120.0,21782.0
2002年,583755.0,137406.0,280359.0,561579.0,6.0,53512.0,249.0,146.0,75700.0,22176.0,2196.0,14201.0,19980.0
2003年,560978.0,132750.0,265226.0,538217.0,4.0,55245.0,186.0,120.0,71816.0,22761.0,2913.0,12870.0,19848.0
2004年,612790.0,137883.0,286435.0,586960.0,12.0,69509.0,271.0,147.0,79500.0,25830.0,3652.0,13203.0,22178.0
2005年,654871.0,145416.0,305852.0,630063.0,10.0,75107.0,185.0,207.0,88354.0,24808.0,3662.0,14932.0,21146.0
2006年,670727.0,147742.0,306401.0,646279.0,6.0,79548.0,258.0,195.0,95437.0,24448.0,3737.0,16692.0,20711.0
2007年,711144.0,151669.0,319303.0,686456.0,7.0,85425.0,231.0,212.0,109821.0,24688.0,4192.0,19788.0,20496.0
2008年,750934.0,158361.0,330034.0,724250.0,2.0,89521.0,477.0,191.0,123422.0,26684.0,4908.0,22242.0,21776.0
2009年,749838.0,163369.0,309033.0,723324.0,2.0,86713.0,371.0,210.0,137928.0,26514.0,5079.0,25698.0,21435.0
2010年,766394.0,170905.0,288987.0,736256.0,2.0,89824.0,419.0,191.0,155242.0,30138.0,6057.0,30686.0,24081.0
2011年,824052.0,173501.0,296692.0,796774.0,2.0,123206.0,377.0,200.0,168936.0,27278.0,5556.0,33860.0,21722.0
2012年,979717.0,180747.0,335940.0,947796.0,1.0,178878.0,385.0,240.0,184221.0,31921.0,6872.0,67384.0,25049.0
2013年,958727.0,176505.0,301184.0,,5.0,194456.0,,247.0,202172.0,,7044.0,51727.0,24780.0
2014年,1027115.0,176292.0,309512.0,,13.0,221217.0,,252.0,228684.0,,6931.0,56962.0,26589.0
