,人民法院审理侵犯公民人身权利民主权利罪刑事一审案件收案数,人民法院审理侵犯财产罪刑事一审案件收案数,人民法院审理其他刑事一审案件收案数,人民法院审理刑事一审案件中自诉案件收案数,人民法院审理刑事一审案件收案数,人民法院审理危害公共安全罪刑事一审案件收案数,人民法院审理危害国防利益罪刑事一审案件收案数,人民法院审理妨害社会管理秩序罪刑事一审案件收案数,人民法院审理渎职罪刑事一审案件收案数,人民法院审理破坏社会主义市场经济秩序罪刑事一审案件收案数,人民法院审理贪污贿赂罪刑事一审案件收案数
1978年,,,,,146968.0,,,,,,
1979年,,,,,123846.0,,,,,,
1980年,,,,,197856.0,,,,,,
1981年,,,,,232125.0,,,,,,
1982年,,,,,245219.0,,,,,,
1983年,,,,,542648.0,,,,,,
1984年,,,,,431357.0,,,,,,
1985年,,,,,246655.0,,,,,,
1986年,,,,,299720.0,,,,,,
1987年,,,,,289614.0,,,,,,
1988年,,,,,313306.0,,,,,,
1989年,,,,,392564.0,,,,,,
1990年,,,,,459656.0,,,,,,
1991年,,,,,427840.0,,,,,,
1992年,,,,,422991.0,,,,,,
1993年,,,,,403267.0,,,,,,
1994年,,,,,482927.0,,,,,,
1995年,,,,,495741.0,,,,,,
1996年,,,,,618826.0,,,,,,
1997年,,,,,436894.0,,,,,,
1998年,,,,,482164.0,,,,,,
1999年,177771.0,235263.0,240.0,59350.0,540008.0,35006.0,100.0,57023.0,1250.0,14409.0,18946.0
2000年,,,,,560432.0,,,,,,
2001年,193579.0,265586.0,325.0,53591.0,628996.0,51572.0,158.0,78933.0,1839.0,15204.0,21800.0
2002年,186463.0,277796.0,341.0,42863.0,631348.0,53433.0,134.0,77196.0,1541.0,15252.0,19192.0
2003年,182642.0,278629.0,304.0,39464.0,632605.0,57369.0,151.0,76072.0,2082.0,14591.0,20765.0
2004年,175494.0,285242.0,333.0,34142.0,647541.0,68795.0,151.0,79073.0,2560.0,13920.0,21973.0
2005年,177701.0,304641.0,288.0,29396.0,684897.0,75099.0,216.0,87501.0,2664.0,15229.0,21558.0
2006年,175705.0,310666.0,344.0,23914.0,702445.0,79583.0,192.0,95330.0,2881.0,16792.0,20952.0
2007年,172101.0,317339.0,306.0,19321.0,724112.0,84795.0,220.0,106412.0,3148.0,19228.0,20563.0
2008年,176416.0,330525.0,583.0,16546.0,767842.0,90396.0,181.0,121901.0,3793.0,21833.0,22214.0
2009年,180677.0,314219.0,572.0,14613.0,768507.0,86987.0,196.0,134380.0,4003.0,25240.0,22233.0
2010年,184233.0,293561.0,679.0,12540.0,779595.0,88950.0,207.0,153201.0,4489.0,30386.0,23889.0
2011年,188147.0,302157.0,1311.0,10716.0,845714.0,119659.0,180.0,171840.0,4611.0,34577.0,23232.0
2012年,195816.0,342667.0,1396.0,9905.0,996611.0,175439.0,213.0,183841.0,5596.0,64963.0,26680.0
2013年,186280.0,306014.0,957.0,8240.0,971567.0,193275.0,247.0,201688.0,5703.0,51987.0,25416.0
2014年,187631.0,311652.0,1093.0,7166.0,1040457.0,219894.0,257.0,228684.0,5927.0,57776.0,27543.0
