,人民法院审理买卖合同一审案件结案中其他案件数,人民法院审理供用动力合同一审案件结案中其他案件数,人民法院审理借款合同一审案件结案中其他案件数,人民法院审理其他合同纠纷一审案件结案中其他案件数,人民法院审理农村承包合同一审案件结案中其他案件数,人民法院审理劳动争议一审案件结案中其他案件数,人民法院审理合同纠纷一审案件结案中其他案件数,人民法院审理建设工程合同一审案件结案中其他案件数,人民法院审理房地产合同一审案件结案中其他案件数,人民法院审理承揽合同一审案件结案中其他案件数,人民法院审理电信合同一审案件结案中其他案件数,人民法院审理租赁合同一审案件结案中其他案件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0
2002年,12585,1033,20778,10634,858,1525,55602,1375,1446,1181,2775,1412
2003年,12895,851,21891,9131,1435,2139,58841,1476,1723,1342,4461,1497
2004年,12639,514,16011,8847,1283,2566,53828,1634,2090,1555,5138,1551
2005年,11796,449,12613,9994,974,2861,49726,1786,1910,1776,3878,1689
2006年,9841,306,11458,7779,860,2883,42652,1723,1575,1516,3150,1561
2007年,9119,315,20943,9491,530,3121,53323,1863,1885,1710,2932,1414
2008年,10066,264,14675,10812,540,6618,53124,1951,2494,1833,2224,1647
2009年,10561,358,12657,10040,531,7260,49482,2099,1786,1610,615,1965
2010年,8052,340,11937,10310,582,6999,44850,1980,1305,1349,472,1524
2011年,7692,831,12277,11485,279,5591,47326,1943,2896,1317,1594,1421
2012年,8199,77,16339,14867,187,6446,55684,2255,3053,1269,1071,1921
2013年,10538,99,21907,14629,667,7153,65133,2984,2468,1573,977,2138
2014年,11778,61,26016,16989,218,8110,75878,3606,4326,1871,324,2579
