,人民法院审理买卖合同一审案件结案中调解件数,人民法院审理供用动力合同一审案件结案中调解件数,人民法院审理借款合同一审案件结案中调解件数,人民法院审理其他合同纠纷一审案件结案中调解件数,人民法院审理农村承包合同一审案件结案中调解件数,人民法院审理劳动争议一审案件结案中调解件数,人民法院审理合同纠纷一审案件结案中调解件数,人民法院审理建设工程合同一审案件结案中调解件数,人民法院审理房地产合同一审案件结案中调解件数,人民法院审理承揽合同一审案件结案中调解件数,人民法院审理电信合同一审案件结案中调解件数,人民法院审理租赁合同一审案件结案中调解件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0
2002年,150194,14723,265388,66121,18256,15435,617769,12934,13065,14125,27331,20197
2003年,146103,15354,239308,65917,20251,18957,602251,13648,13444,13878,34851,20540
2004年,151226,18423,236468,73856,16262,22891,625442,15785,14613,16067,37733,22118
2005年,157134,18769,229375,79010,18793,27944,646934,16854,17694,17197,40743,23421
2006年,154476,18119,216834,83093,18027,27025,634672,16650,23130,16681,36359,24278
2007年,172604,18306,246049,100227,14076,37912,716882,18447,22837,18575,39784,28065
2008年,205703,18130,303039,136509,14797,93368,930436,22818,35715,24901,41076,34380
2009年,208923,19899,332894,166456,13014,105666,1010991,25218,42757,25023,35223,35918
2010年,203331,21235,363417,192451,13367,140412,1108861,24458,46614,23086,40340,40150
2011年,206013,19806,382084,256328,13221,141289,1199000,24134,46979,23209,45788,40149
2012年,227450,25204,470201,320131,9604,165358,1426117,26458,56731,23664,56833,44483
2013年,226115,20023,481853,292236,8122,153959,1385334,26885,65513,24104,41890,44634
2014年,221489,15136,473791,269256,5836,141071,1295072,27950,57531,22907,18761,41344
