,人民法院审理其他婚姻家庭一审案件结案中调解件数,人民法院审理其他继承一审案件结案中调解件数,人民法院审理婚姻家庭、继承一审案件结案中调解件数,人民法院审理婚姻家庭一审案件结案中调解件数,人民法院审理抚养、扶养关系纠纷一审案件结案中调解件数,人民法院审理抚育费纠纷一审案件结案中调解件数,人民法院审理法定继承一审案件结案中调解件数,人民法院审理离婚一审案件结案中调解件数,人民法院审理继承一审案件结案中调解件数,人民法院审理赡养纠纷一审案件结案中调解件数,人民法院审理遗嘱继承一审案件结案中调解件数
1978年,,,,,,,,,,,
1979年,,,,,,,,,,,
1980年,,,,,,,,,,,
1981年,,,,,,,,,,,
1982年,,,,,,,,,,,
1983年,,,,,,,,,,,
1984年,,,,,,,,,,,
1985年,,,,,,,,,,,
1986年,,,,,,,,,,,
1987年,,,,,,,,,,,
1988年,,,,,,,,,,,
1989年,,,,,,,,,,,
1990年,,,,,,,,,,,
1991年,,,,,,,,,,,
1992年,,,,,,,,,,,
1993年,,,,,,,,,,,
1994年,,,,,,,,,,,
1995年,,,,,,,,,,,
1996年,,,,,,,,,,,
1997年,,,,,,,,,,,
1998年,,,,,,,,,,,
1999年,,,,,,,,,,,
2000年,,,,,,,,,,,
2001年,,,,,,,,,,,
2002年,,,550466.0,,,,,,,,
2003年,,,552005.0,,,,,,,,
2004年,,,506602.0,,,,,,,,
2005年,22459.0,2152.0,512923.0,507193.0,20173.0,10659.0,3237.0,440360.0,5730.0,13542.0,341.0
2006年,23168.0,2624.0,533819.0,526883.0,22871.0,10010.0,3875.0,458688.0,6936.0,12146.0,437.0
2007年,27138.0,3660.0,560830.0,551734.0,25146.0,10959.0,4844.0,477132.0,9096.0,11359.0,592.0
2008年,34105.0,4271.0,613379.0,598138.0,27744.0,12395.0,10116.0,512222.0,15241.0,11672.0,854.0
2009年,42848.0,5046.0,659065.0,641026.0,28965.0,11792.0,11635.0,545700.0,18039.0,11721.0,1358.0
2010年,52554.0,7426.0,698900.0,673749.0,31082.0,11502.0,15935.0,567374.0,25151.0,11237.0,1790.0
2011年,74568.0,30257.0,768238.0,715698.0,30246.0,12152.0,20253.0,588035.0,52540.0,10697.0,2030.0
2012年,75385.0,38599.0,803919.0,739240.0,29014.0,12120.0,23794.0,612304.0,64679.0,10417.0,2286.0
2013年,55522.0,23933.0,770437.0,713186.0,30280.0,12297.0,30478.0,605491.0,57251.0,9596.0,2840.0
2014年,55543.0,14261.0,724776.0,672592.0,31242.0,11425.0,34839.0,565857.0,52184.0,8525.0,3084.0
