,人民法院审理不当得利一审案件结案中其他案件数,人民法院审理人身损害赔偿一审案件结案中其他案件数,人民法院审理人身权纠纷一审案件结案中其他案件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中其他案件数,人民法院审理所有权及其相关权利一审案件结案中其他案件数,人民法院审理权属、侵权纠纷及其他民事一审案件结案中其他案件数,人民法院审理特别程序一审案件结案中其他案件数,人民法院审理特殊侵权纠纷一审案件结案中其他案件数,人民法院审理票据、证券、股票纠纷一审案件结案中其他案件数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,153808,0,0,0
2003年,0,0,0,0,0,174929,0,0,0
2004年,0,0,0,0,0,157839,0,0,0
2005年,0,0,0,0,0,149548,0,0,0
2006年,0,0,0,0,0,123214,0,0,0
2007年,381,5006,5184,5393,1539,122256,109426,329,4
2008年,437,5240,5554,2748,5186,126342,111784,421,212
2009年,481,5581,6013,2637,5242,113759,98701,571,114
2010年,902,5264,5718,2670,4786,101741,86782,773,110
2011年,403,7411,7827,2416,4206,129551,112810,829,1060
2012年,569,7084,7552,2410,4401,180425,162913,1521,1059
2013年,558,9175,9646,2984,4977,301166,279571,2228,1202
2014年,686,11277,11818,3850,5590,303541,277128,2979,1490
