,人民法院审理不当得利一审案件结案中驳回件数,人民法院审理人身损害赔偿一审案件结案中驳回件数,人民法院审理人身权纠纷一审案件结案中驳回件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中驳回件数,人民法院审理所有权及其相关权利一审案件结案中驳回件数,人民法院审理权属、侵权纠纷及其他民事一审案件结案中驳回件数,人民法院审理特别程序一审案件结案中驳回件数,人民法院审理特殊侵权纠纷一审案件结案中驳回件数,人民法院审理票据、证券、股票纠纷一审案件结案中驳回件数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,14908,0,0,0
2003年,0,0,0,0,0,16442,0,0,0
2004年,0,0,0,0,0,16332,0,0,0
2005年,0,0,0,0,0,14912,0,0,0
2006年,0,0,0,0,0,14869,0,0,0
2007年,395,2780,2947,5584,2153,14995,3417,481,18
2008年,343,3006,3313,1751,7449,16452,2700,673,223
2009年,369,3187,3565,1478,7517,18894,5102,693,170
2010年,484,3131,3438,1474,7810,18739,4549,886,98
2011年,480,2597,2914,993,6979,17993,5265,807,555
2012年,524,2183,2434,1123,6283,17994,6183,888,559
2013年,523,2414,2754,1111,6806,24877,11890,1186,607
2014年,884,3002,3335,1344,9814,29888,11842,1712,957
