,人民法院审理乡政府一审案件结案中撤销件数,人民法院审理交通运输一审案件结案中撤销件数,人民法院审理公安一审案件结案中撤销件数,人民法院审理其他行政一审案件结案中撤销件数,人民法院审理劳动和社会保障一审案件结案中撤销件数,人民法院审理卫生一审案件结案中撤销件数,人民法院审理土地等资源一审案件结案中撤销件数,人民法院审理城建一审案件结案中撤销件数,人民法院审理工商一审案件结案中撤销件数,人民法院审理环保一审案件结案中撤销件数,人民法院审理税务一审案件结案中撤销件数,人民法院审理行政一审案件结案中撤销件数,人民法院审理计划生育一审案件结案中撤销件数
1978年,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,
1997年,,,,,,,,,,,,12279.0,
1998年,,,,,,,,,,,,15214.0,
1999年,,,,,,,,,,,,15251.0,
2000年,,,,,,,,,,,,13635.0,
2001年,,,,,,,,,,,,12943.0,
2002年,763.0,187.0,1593.0,2492.0,423.0,58.0,2654.0,2386.0,296.0,31.0,73.0,11042.0,86.0
2003年,467.0,184.0,1342.0,2181.0,628.0,64.0,2467.0,2559.0,276.0,29.0,60.0,10337.0,80.0
2004年,564.0,287.0,1326.0,2008.0,667.0,99.0,3340.0,2796.0,298.0,44.0,70.0,11636.0,137.0
2005年,88.0,241.0,969.0,2458.0,945.0,70.0,3866.0,2701.0,322.0,28.0,26.0,11764.0,50.0
2006年,469.0,131.0,842.0,1669.0,846.0,40.0,2930.0,2272.0,303.0,22.0,27.0,9595.0,44.0
2007年,462.0,107.0,645.0,1565.0,771.0,25.0,2563.0,2143.0,209.0,28.0,12.0,8600.0,70.0
2008年,393.0,110.0,564.0,1597.0,699.0,40.0,2545.0,2275.0,213.0,78.0,17.0,8564.0,33.0
2009年,255.0,133.0,615.0,1594.0,752.0,25.0,2301.0,2328.0,177.0,8.0,13.0,8241.0,40.0
2010年,260.0,108.0,488.0,1624.0,630.0,34.0,1996.0,1931.0,154.0,35.0,14.0,7340.0,66.0
2011年,163.0,49.0,428.0,1771.0,698.0,24.0,2037.0,1559.0,168.0,14.0,9.0,6944.0,24.0
2012年,133.0,30.0,424.0,2320.0,854.0,19.0,1744.0,1264.0,143.0,9.0,17.0,6980.0,23.0
2013年,183.0,62.0,370.0,2496.0,925.0,20.0,1612.0,1355.0,181.0,11.0,15.0,7258.0,28.0
2014年,263.0,73.0,568.0,4054.0,1167.0,26.0,2176.0,1780.0,266.0,18.0,34.0,10452.0,27.0
