,公安机关立案的伤害刑事案件,"公安机关立案的伪造、变造货币,出售、购买、运输、持有、使用假币刑事案件",公安机关立案的其他刑事案件,公安机关立案的刑事案件合计,公安机关立案的强奸刑事案件,公安机关立案的抢劫刑事案件,公安机关立案的拐卖妇女儿童刑事案件,公安机关立案的杀人刑事案件,公安机关立案的盗窃刑事案件,公安机关立案的诈骗刑事案件,公安机关立案的走私刑事案件
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0
1995年,72259,5237,101225,1621003,41823,164478,10670,27356,1132789,64047,1119
1996年,68992,5128,184111,1600716,42820,151147,8290,25411,1043982,69688,1147
1997年,69071,5422,186901,1613629,40699,141514,6425,26070,1058110,78284,1133
1998年,80862,6654,265917,1986068,40967,175116,6513,27670,1296988,83080,2301
1999年,92772,10047,331988,2249319,39435,198607,7257,27426,1447390,93192,1205
2000年,120778,15863,575134,3637307,35819,309818,23163,28429,2373696,152614,1993
2001年,138100,5780,769224,4457579,40600,352216,7008,27501,2924512,190854,1784
2002年,141825,5238,710814,4337036,38209,354926,5684,26276,2861727,191188,1149
2003年,145485,3151,701537,4393893,40088,340077,3721,24393,2940598,193665,1178
2004年,148623,2315,741426,4718122,36175,341908,3343,24711,3212822,205844,955
2005年,155056,1858,739156,4648401,33710,332196,2884,20770,3158763,203083,925
2006年,162458,1814,775098,4744136,32553,315682,2565,17973,3216293,218726,974
2007年,167207,1755,786151,4807517,31883,292549,2378,16119,3268670,239698,1107
2008年,160429,1345,724784,4884960,30248,276372,2566,14811,3399600,273763,1042
2009年,172840,4758,793397,5579915,33286,283243,6513,14667,3888579,381432,1200
2010年,174990,1565,812067,5969892,33696,237258,10082,13410,4228369,457350,1105
2011年,165097,688,831581,6004951,33336,202623,13964,12015,4259484,484813,1350
2012年,163620,2194,1299746,6551440,33835,180159,18532,11286,4284670,555823,1575
2013年,161910,768,1038861,6598247,34102,146193,20735,10640,4506414,676771,1853
2014年,140709,899,1003541,6539692,33417,111187,16483,10083,4435984,785306,2083
