,参加失业保险人数,失业保险基金支出,失业保险基金收入,失业保险累计结余,领取失业保险金人数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,2.0,6.8,13.6,
1990年,,2.5402,7.2,19.4628,
1991年,,3.0,9.3,25.7,
1992年,,5.1,11.7,32.1,
1993年,,9.3,17.9,40.8,
1994年,7967.8,14.2,25.4,52.0,
1995年,8237.7,18.8656,35.2852,68.4208,
1996年,8333.0573,27.2897,45.2491,86.3803,
1997年,7961.3722,36.3294,46.9392,96.9901,
1998年,7927.9,51.9,68.4,133.4457,
1999年,9851.997,91.6446,125.2396,159.8555,
2000年,10408.4,123.4324,160.4436,195.9333,329.7489
2001年,10354.6,156.5684,187.324,226.2089,468.547
2002年,10181.6,182.6,213.4,253.8418,657.0
2003年,10372.9,199.8,249.5,303.5,414.9224
2004年,10583.9,211.3,290.8,385.8,418.6378
2005年,10647.6656,206.9,340.3,519.0,362.3416
2006年,11186.6,198.009294312,402.4,724.836810986,326.5464
2007年,11644.6,217.7,471.7,979.1,286.0834
2008年,12399.8484,253.463350178,585.122464931,1310.13892346,261.2236
2009年,12715.4688,366.78634491,580.381780324,1523.61246507,235.2668
2010年,13375.595,423.25711757,649.77702721,1749.79740058,209.1
2011年,14317.0725,432.77,923.07,2240.21,196.9765
2012年,15224.714,450.575531094,1138.92046662,2929.03529219,204.026
2013年,16416.833,531.645158844,1288.90074532,3685.86050479,197.049
2014年,17042.574,614.74194347,1379.79189884,4451.48265972,207.156
