,专职司法助理员,专职律师数,人民调解委员会,代写法律事务文书,公证人员,公证员,公证员助理,公证处,兼职律师数,刑事诉讼辩护及代理,办理公证文书,律师事务所数,律师工作人员,民事诉讼代理,涉外及涉港澳台法律事务,经济诉讼代理,聘请担任常年法律顾问的单位,行政诉讼代理,解答法律询问,调解人员,调解民间纠纷,非诉讼法律事务
1978年,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,
1984年,35782.0,4947.0,94.0,24.3,8382.0,,,2465.0,3383.0,159867.0,,2773.0,8330.0,52213.0,1997.0,,15349.0,,119.1,457.6,674.9,20194.0
1985年,41919.0,6830.0,97.7,31.6,10369.0,3205.0,1274.0,2674.0,6573.0,101707.0,279.7,3131.0,13403.0,108236.0,4324.0,,39453.0,,122.4,473.9,633.3,41136.0
1986年,42173.0,7491.0,95.8,32.9,12054.0,3317.0,1308.0,2758.0,7046.0,141169.0,237.0,3198.0,14537.0,162999.0,3964.0,,43184.0,,159.0,608.7,730.7,41885.0
1987年,42615.0,10487.0,98.0,41.6,13094.0,7458.0,1394.0,2820.0,8972.0,154485.0,288.4,3291.0,19459.0,208627.0,5320.0,,59478.0,,190.4,620.6,696.6,55061.0
1988年,43618.0,21051.0,100.3,53.5,15111.0,9214.0,2151.0,2884.0,10359.0,170194.0,424.9,3473.0,31410.0,265326.0,8412.0,,88108.0,,241.1,637.0,725.5,71618.0
1989年,45105.0,23606.0,100.6,56.8,15961.0,9408.0,2515.0,2914.0,20109.0,232206.0,514.9,3646.0,43715.0,365197.0,14594.0,,109609.0,,262.6,593.7,734.1,133226.0
1990年,47399.0,23727.0,102.1,51.7,15786.0,9210.0,2599.0,2921.0,10652.0,252344.0,636.5,3716.0,34379.0,330672.0,9980.0,,111899.0,,275.7,625.6,740.9,110139.0
1991年,52534.0,19919.0,104.0,49.86,15972.0,9253.0,2569.0,2933.0,10662.0,230967.0,990.7,3748.0,41639.0,382679.0,11214.0,,128921.0,14307.0,244.2,991.4,712.6,236707.0
1992年,51122.0,22124.0,101.1,61.0,16204.0,9463.0,2503.0,2981.0,12391.0,219739.0,972.3,4176.0,45666.0,396342.0,14719.0,,151501.0,16061.0,277.5,1017.9,617.3,277030.0
1993年,52979.0,30401.0,100.8,60.0,16742.0,10371.0,2339.0,3066.0,16793.0,191657.0,796.4,5129.0,68834.0,246187.0,18423.0,237119.0,185715.0,15260.0,241.5,976.7,622.3,350408.0
1994年,53705.0,40730.0,100.9,52.8,16925.0,10627.0,2170.0,3114.0,20171.0,208806.0,757.5,6419.0,83619.0,264854.0,26718.0,276720.0,203320.0,16283.0,290.7,999.8,612.4,403544.0
1995年,53922.0,45094.0,101.0,54.4,16949.0,10663.0,2221.0,3148.0,17994.0,204382.0,777.4,7263.0,90602.0,316250.0,20444.0,324909.0,234496.0,18043.0,196.0,1025.9,602.8,452021.0
1996年,56173.0,47879.0,100.2,52.3,17019.0,11322.0,1925.0,3167.0,20243.0,245877.0,792.7,8265.0,100198.0,353840.0,27730.0,360224.0,223043.0,19360.0,186.5,1035.4,580.2,435483.0
1997年,57029.0,47574.0,98.5,95.87,17431.0,11749.0,1741.0,3162.0,18695.0,275188.0,982.8,8441.0,98902.0,454273.0,24765.0,403337.0,232434.0,29618.0,425.92,1027.4,554.3,1222239.0
1998年,52875.0,51008.0,98.4,125.86,18159.0,13006.0,1428.0,3179.0,17958.0,296668.0,1022.9,8946.0,101220.0,526633.0,21618.0,414229.0,235676.0,35865.0,489.86,917.5,526.7,851433.0
1999年,54987.0,61761.0,97.41,96.64,18654.0,13083.0,1584.0,3189.0,17082.0,309767.0,1644.6,9144.0,111433.0,592455.0,18793.0,426358.0,238576.0,39006.0,419.2,880.25,518.9,716287.0
