,一般火灾受伤人数,火灾受伤人数,特大火灾受伤人数,较大火灾受伤人数,重大火灾受伤人数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,3843.0,4722.0,346.0,,533.0
1991年,2985.0,3746.0,207.0,,554.0
1992年,2739.0,3388.0,125.0,,524.0
1993年,2975.0,5977.0,2186.0,,816.0
1994年,2728.0,4254.0,784.0,,742.0
1995年,2538.0,3770.0,276.0,,956.0
1996年,2271.0,3428.0,330.0,,827.0
1997年,4078.0,4930.0,366.0,,486.0
1998年,4207.0,4894.0,237.0,,450.0
1999年,4207.0,4572.0,172.0,,193.0
2000年,3963.0,4404.0,191.0,,250.0
2001年,3465.0,3781.0,53.0,,263.0
2002年,3168.0,3414.0,44.0,,202.0
2003年,2886.0,3087.0,34.0,,167.0
2004年,2659.0,2969.0,156.0,,154.0
2005年,2224.0,2506.0,167.0,,115.0
2006年,1321.0,1418.0,13.0,,84.0
2007年,873.0,969.0,19.0,31.0,46.0
2008年,608.0,743.0,64.0,57.0,14.0
2009年,587.0,651.0,6.0,28.0,30.0
2010年,516.0,624.0,,57.0,51.0
2011年,485.0,571.0,,54.0,32.0
2012年,523.0,575.0,,45.0,7.0
2013年,,,,,
2014年,,,,,
