,一般火灾死亡人数,火灾死亡人数,特大火灾死亡人数,较大火灾死亡人数,重大火灾死亡人数
1978年,0,0,0,0,0
1979年,0,0,0,0,0
1980年,0,0,0,0,0
1981年,0,0,0,0,0
1982年,0,0,0,0,0
1983年,0,0,0,0,0
1984年,0,0,0,0,0
1985年,0,0,0,0,0
1986年,0,0,0,0,0
1987年,0,0,0,0,0
1988年,0,0,0,0,0
1989年,0,0,0,0,0
1990年,1579,2107,126,0,402
1991年,1409,2039,147,0,483
1992年,1360,1937,153,0,424
1993年,1430,2467,520,0,517
1994年,1319,2847,912,0,616
1995年,1304,2232,259,0,669
1996年,1304,2225,246,0,675
1997年,1704,2722,454,0,564
1998年,1668,2380,117,0,595
1999年,1964,2744,219,0,561
2000年,1995,3021,529,0,497
2001年,1779,2334,61,0,494
2002年,1846,2393,70,0,477
2003年,1969,2482,94,0,419
2004年,2037,2558,131,0,390
2005年,1995,2496,160,0,341
2006年,1190,1517,39,0,288
2007年,1212,1617,37,263,105
2008年,1131,1521,49,304,37
2009年,964,1236,1,222,49
2010年,890,1205,0,272,43
2011年,739,1108,0,287,82
2012年,805,1028,0,199,24
2013年,0,0,0,0,0
2014年,0,0,0,0,0
