,一般火灾直接经济损失,火灾直接经济损失,特大火灾直接经济损失,较大火灾直接经济损失,重大火灾直接经济损失
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,19028.4,51181.8,17939.5,,14213.9
1991年,18350.6,51813.3,16653.7,,16809.0
1992年,20146.0,69025.7,28326.4,,20553.3
1993年,24019.1,111768.8,58169.6,,29580.1
1994年,26975.6,124491.0,59061.1,,38454.3
1995年,27874.8,107776.5,38617.7,,41284.0
1996年,27660.6,102908.5,32088.8,,43159.1
1997年,95297.4,154140.6,36558.8,,22284.4
1998年,91229.9,143995.2,28844.9,,23920.4
1999年,94560.2,143394.0,27321.3,,21512.4
2000年,115538.5,152217.3,20013.9,,16664.9
2001年,119364.7,140326.1,8288.3,,12673.1
2002年,128298.0,154446.0,12188.0,,13960.0
2003年,133873.1,159088.6,11928.6,,13286.9
2004年,127280.3,167197.3,29550.0,,10367.0
2005年,117632.0,136288.0,7790.0,,10866.0
2006年,60761.9,78446.8,9541.5,,8143.4
2007年,106219.8936,112515.8246,30.1338,4752.4452,1513.352
2008年,132040.0131,182202.522,30027.12,10775.9812,9359.4077
2009年,146188.1,162390.7,15072.2,824.9,305.5
2010年,172787.3,195945.2,,11773.3,11384.6
2011年,178407.9,205743.4,,15775.3,11560.2
2012年,195211.1,217716.3,,19806.3,2698.8
2013年,,,,,
2014年,,,,,
