,医疗保险基金支出,医疗保险基金收入,医疗保险累计结余,基本养老保险基金支出,基本养老保险基金收入,基本养老保险累计结余,失业保险基金支出,失业保险基金收入,失业保险累计结余,工伤保险基金支出,工伤保险基金收入,工伤保险累计结余,生育保险基金支出,生育保险基金收入,生育保险累计结余,社会保险基金支出,社会保险基金收入,社会保险基金累计结余
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,118.8,146.7,68.0,2.0,6.8,13.6,0.0,0.0,0.0,0.0,0.0,0.0,120.9,153.6,81.6
1990年,0.0,0.0,0.0,149.3363,178.8178,97.876,2.5402,7.2,19.4628,0.0,0.0,0.0,0.0,0.0,0.0,151.8765,186.7909,117.3388
1991年,0.0,0.0,0.0,173.1,215.7,144.1,3.0,9.3,25.7,0.0,0.0,0.0,0.0,0.0,0.0,176.1,225.0,169.7
1992年,0.0,0.0,0.0,321.9,365.8,220.6,5.1,11.7,32.1,0.0,0.0,0.0,0.0,0.0,0.0,327.1,377.4,252.8
1993年,1.3,1.4,0.4,470.6,503.5,258.6,9.3,17.9,40.8,0.4,2.4,3.1,0.5,0.8,0.8,482.2,526.1,303.7
1994年,2.9,3.2,0.7,661.1,707.4,304.8,14.2,25.4,52.0,0.9,4.6,6.8,0.8,1.5,1.4,680.0,742.0,365.7
1995年,7.2835,9.6667,3.0982,847.6087,950.0507,429.8338,18.8656,35.2852,68.4208,1.8128,8.0861,12.6792,1.5782,2.9375,2.7383,877.1488,1006.0262,516.7703
1996年,16.2336,19.0084,6.4403,1031.8689,1171.7639,578.5604,27.2897,45.2491,86.3803,3.6997,10.8917,19.7492,3.2865,5.5173,4.9726,1082.3784,1252.4304,696.1028
1997年,40.5,52.3,16.6,1251.328,1337.9051,682.8482,36.3294,46.9392,96.9901,6.0865,13.5677,27.6677,4.9089,7.4436,7.52,1339.1528,1458.1556,831.626
1998年,53.297,60.5924,19.9971,1511.6267,1458.9737,587.8332,51.9,68.4,133.4457,9.0435,21.1518,39.5344,6.8462,9.7601,10.3086,1636.8865,1623.0891,791.119
1999年,69.0735,89.866,57.5543,1924.8543,1965.1151,733.5416,91.6446,125.2396,159.8555,15.4164,20.8781,44.9216,7.1274,10.7488,13.9075,2108.1162,2211.8476,1009.7805
2000年,124.5411,169.9984,109.8311,2115.4833,2278.5,947.1165,123.4324,160.4436,195.9333,13.7973,24.7778,57.8542,8.3452,11.1554,16.7704,2385.5993,2644.9,1327.5055
2001年,244.0989,383.6022,253.0088,2321.2601,2488.9606,1054.0818,156.5684,187.324,226.2089,16.4929,28.2839,68.8926,9.5873,13.7285,20.5757,2748.0076,3101.8992,1622.7678
2002年,409.3566,607.783,450.7138,2842.9072,3171.4607,1608.0319,182.6,213.4,253.8418,19.8919,32.0315,81.0812,12.7784,21.8135,29.7316,3471.4995,4048.6627,2423.4003
2003年,653.9,890.0,670.6,3122.1,3680.0,2206.5,199.8,249.5,303.5,27.1,37.6,91.2,13.5,25.8,42.0,4016.4,4882.9,3313.8
2004年,862.2,1140.5,957.9,3502.1,4258.4,2975.0,211.3,290.8,385.8,33.3,58.3,118.6,18.8,32.1,55.9,4627.4,5780.3,4493.4
2005年,1078.7,1405.3,1278.1,4040.3,5093.3,4041.0,206.9,340.3,519.0,47.5,92.5,163.5,27.4,43.8,72.1,5400.8,6975.2,6073.7
2006年,1276.7422,1747.1038,1752.3837,4896.65551,6309.8,5488.88162,198.009294312,402.4,724.836810986,68.4909,121.8228,192.8951,37.4866,62.1289,96.8876,6477.38450431,8643.2,8255.88483099
2007年,1561.8,2257.2,2476.9,5964.9,7834.2,7391.4,217.7,471.7,979.1,87.9,165.6,262.6,55.6,83.6,126.6,7887.8,10812.3,11236.6
2008年,2083.6,3040.4,3431.7,7389.6,9740.2,9931.0,253.463350178,585.122464931,1310.13892346,126.9,216.7,384.605,71.5,113.7,168.2,9925.06335018,13696.1224649,15225.6439235
2009年,2797.4072,3671.895,4275.9468,8894.4287,11490.8428,12526.0925,366.78634491,580.381780324,1523.61246507,155.6763,240.1166,468.7791,88.256,132.4061,212.0942,12302.5545449,16115.6422803,19006.5250651
2010年,3538.1018,4308.9289,5047.1175,10554.9204,13419.5263,15365.2805,423.25711757,649.77702721,1749.79740058,192.4028,284.9453,561.4429,109.8618,159.5802,261.4069,15018.9409475,19276.1288094,23407.5496321
2011年,4431.3731,5539.1772,6179.986,12764.9486,16894.728,19496.5955,432.77,923.07,2240.21,286.3816,466.4359,742.5609,139.1711,219.8285,342.5305,18652.9024104,25153.2983143,30233.0831182
2012年,5543.62407915,6938.67927305,7644.5123956,15561.7924,20000.9922,23941.3111,450.575531094,1138.92046662,2929.03529219,406.2852,526.7163,861.9363,219.3173,304.2107,427.5983,23331.3301392,30738.7634406,38106.5686175
2013年,6801.0329,8248.2618,9116.4521,18470.4313,22680.3664,28269.1795,531.645158844,1288.90074532,3685.86050479,482.1049,614.7748,996.2162,282.7635,368.3766,514.741,27916.2565586,35252.9469195,45588.1119363
2014年,8133.5894,9687.2393,10644.7686,21754.6532,25309.6743,31799.964,614.74194347,1379.79189884,4451.48265972,560.486,694.77,1128.7969,368.0523,446.0512,592.7208,33002.6776478,39827.7433834,52462.2989301
