,中稻和一季晚稻播种面积,亚麻播种面积,其他农作物播种面积,其他谷物播种面积,农作物总播种面积,冬小麦播种面积,双季晚稻播种面积,向日葵播种面积,夏收粮食播种面积,大豆播种面积,大麦播种面积,大麻播种面积,小麦播种面积,早稻播种面积,春小麦播种面积,棉花播种面积,油料播种面积,油菜籽播种面积,烟叶播种面积,烤烟播种面积,玉米播种面积,甘蔗播种面积,甜菜播种面积,秋收粮食播种面积,稻谷播种面积,粮食作物播种面积,糖料播种面积,红小豆播种面积,绿豆播种面积,胡麻籽播种面积,芝麻播种面积,花生播种面积,苎麻播种面积,药材播种面积,蔬菜播种面积,薯类播种面积,谷子播种面积,谷物播种面积,豆类播种面积,青饲料播种面积,马铃薯播种面积,高粱播种面积,麻类播种面积,黄红麻播种面积
1978年,0.0,52.8666666667,12061.2,0.0,150104.066667,24714.1333333,0.0,319.733333333,31884.5333333,7143.73333333,0.0,159.666666667,29182.6,12189.2,4468.66666667,4866.4,6222.33333333,2599.66666667,783.933333333,612.866666667,19961.1333333,548.5333333,330.933333333,76513.4666667,34420.8666667,120587.2,879.466666667,0.0,0.0,572.733333333,637.666666667,1768.13333333,36.2,216.133333333,3331.0,11796.2666667,4270.66666667,0.0,0.0,1841.73333333,0.0,3457.66666667,750.733333333,412.133333333
1979年,0.0,54.6666666667,11607.6,0.0,148476.866667,24444.4,0.0,367.466666667,31925.7333333,7246.8,0.0,155.066666667,29356.7333333,11421.7333333,4912.6,4511.8,7051.26666667,2760.86666667,633.266666667,508.933333333,20132.9333333,511.733333333,325.0,75915.2333333,33872.6666667,119262.7,836.733333333,0.0,0.0,648.933333333,843.2,2074.4,37.3,180.466666667,3229.6,10952.1333333,4172.53333333,0.0,0.0,1898.33333333,0.0,3172.53333333,698.066666667,361.666666667
1980年,11600.07,92.6,10455.3333333,0.0,146379.533333,23650.8666667,11168.23,844.733333333,31000.4,7226.33333333,0.0,137.4,28844.4,11110.1333333,5193.53333333,4920.26666667,7928.46666667,2844.06666667,511.933333333,396.733333333,20087.4,479.533333333,442.733333333,75123.7333333,33878.4666667,117234.266667,922.266666667,0.0,0.0,703.466666667,776.133333333,2339.06666667,43.8,134.066666667,3163.0,10153.4666667,3872.2,0.0,0.0,1785.53333333,0.0,2692.8,666.466666667,314.066666667
1981年,11945.9666667,83.9333333333,9519.73333333,0.0,145157.066667,23261.2333333,10706.7333333,1039.86666667,29870.3333333,8023.53333333,0.0,94.8666666667,28306.7333333,10641.8666666,5045.46666667,5185.06666667,9134.33333333,3800.73333333,757.0,586.333333333,19424.9333333,551.266666667,435.8,74445.4666661,33294.7333333,114957.666666,987.066666667,0.0,0.0,652.2,817.933333333,2472.4,48.2,99.5333333333,3447.86666667,9620.4,3889.2,0.0,0.0,1684.53333333,0.0,2610.06666667,591.0,306.2
1982年,11955.2933333,55.0,8956.2,0.0,144754.6,23205.4333333,10602.9066667,813.933333333,29608.8666666,8418.8,0.0,66.4,27955.3333333,10511.2666666,4749.86666667,5828.4,9343.06666667,4121.66666667,1124.2,888.333333333,18543.0,653.333333333,462.266666667,73342.2666668,33071.0666667,113462.4,1115.6,0.0,0.0,638.533333333,964.6,2416.26666667,46.8,95.4666666667,3887.46666667,9369.86666667,4038.66666667,0.0,0.0,1647.46666667,2454.4,2783.93333333,458.8,245.8
1983年,12216.5,54.6666666667,8404.33333333,0.0,143993.466667,24112.7,10423.6,732.8,30452.6666666,7567.13333333,0.0,40.7333333333,29049.8666667,10495.9333333,4937.2,6077.26666667,8390.2,3669.4,767.733333333,571.866666667,18824.2,654.133333333,543.8,73098.6000001,33136.3333333,114047.2,1197.93333333,0.0,0.0,642.2,789.266666667,2200.93333333,38.5,132.8,4101.66666667,9402.0,4087.46666667,0.0,0.0,1622.2,2562.13333333,2706.93333333,389.133333333,226.866666667
1984年,12537.4333333,68.4,7959.53333333,0.0,144221.333333,24704.1,10379.2666667,1012.86666667,31097.4666667,7286.13333333,0.0,35.5333333333,29576.4666667,10261.9333333,4872.4,6923.13333333,8677.53333333,3413.06666667,897.4,715.066666667,18536.5333333,728.066666667,502.066666667,71524.5333333,33178.4,112883.933333,1230.13333333,0.0,0.0,632.0,858.066666667,2421.46666667,39.3,231.133333333,4320.0,8988.26666667,3797.33333333,0.0,0.0,1604.86666667,2561.6,2450.46666667,486.133333333,320.133333333
1985年,12788.3,80.2666666667,7839.4,0.0,143625.866667,24425.3333333,9706.6,1473.73333333,30395.7333333,7717.73333333,0.0,46.0,29218.1333333,9575.06666667,4792.86666667,5140.33333333,11799.8,4494.2,1312.73333333,1077.06666667,17694.0666667,964.8,560.46666666,68874.333333,32070.0666667,108845.133333,1525.26666667,0.0,0.0,791.6,1051.93333333,3318.33333333,86.0,259.4,4753.0,8571.93333333,3318.46666667,0.0,0.0,1664.8,2477.53333333,1936.86666667,1230.6,991.533333333
1986年,12926.1,81.6,7573.86666667,0.0,144204.0,24891.1333333,9797.4,1040.26666667,30728.5333333,8294.53333333,0.0,46.0,29616.2666667,9542.6,4725.06666667,4306.13333333,11414.5,4915.8,1125.33333333,894.333333333,19123.6666667,949.933333333,520.333333333,70661.4666667,32266.1333333,110932.6,1470.26666667,0.0,0.0,746.466666667,1006.6,3253.46666667,271.7,179.6,5304.13333333,8684.66666667,2979.93333333,0.0,0.0,1738.53333333,2506.8,1875.53333333,762.133333333,344.933333333
1987年,13055.2,126.066666667,7429.93333333,0.0,144956.533333,24555.0333333,9767.8,887.066666667,30511.4,8444.93333333,0.0,37.4,28797.9333333,9369.7333333,4242.66666667,4844.2,11180.5,5267.4,1128.2,913.4,20211.6666667,858.933333333,497.733333333,71386.6666667,32192.8,111267.766667,1356.66666667,0.0,0.0,756.933333333,869.4,3022.13333333,516.5,158.533333333,5572.33333333,8867.6,2688.2,0.0,0.0,1842.2,2588.4,1863.66666667,966.666666667,272.133333333
