,农村居民家庭拥有产品畜数量,农村居民家庭拥有大中型拖拉机数量,农村居民家庭拥有小型和手扶拖拉机数量,农村居民家庭拥有役畜数量,农村居民家庭拥有机动脱粒机数量,农村居民家庭拥有水泵数量,农村居民家庭拥有汽车数量,农村居民家庭拥有胶轮大车数量
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,0.23,1.43,,0.86,0.87,0.04,4.03
1984年,,0.32,2.0,,1.11,1.48,0.09,5.83
1985年,32.12,0.35,2.71,57.15,1.91,1.69,0.25,5.49
1986年,34.8,0.43,3.1,59.22,1.82,2.07,0.19,6.52
1987年,31.16,0.4,3.75,59.13,2.15,2.48,0.28,7.05
1988年,33.16,0.48,4.33,59.77,2.24,3.89,0.35,7.56
1989年,34.63,0.47,4.84,58.67,2.61,3.81,0.28,7.68
1990年,30.91,0.45,5.3,57.27,3.55,3.86,0.28,7.89
1991年,28.73,0.51,6.61,53.93,3.85,4.73,0.24,8.24
1992年,30.07,0.55,7.25,52.95,4.16,5.48,0.28,8.67
1993年,53.15,0.64,8.4,59.98,5.3,8.54,0.33,9.6
1994年,56.7,0.79,8.77,58.79,5.15,7.9,0.4,9.32
1995年,50.72,0.77,9.93,55.99,6.33,9.07,0.51,9.29
1996年,56.26,0.99,12.46,54.99,6.87,10.97,0.78,8.78
1997年,52.72,1.39,14.26,55.58,7.41,12.12,0.82,8.83
1998年,52.2,1.22,14.34,48.39,8.58,13.73,1.01,8.52
1999年,54.080379653,1.44297790301,16.28,45.0249147264,8.35,14.0247664244,1.08542191903,7.8709773098
2000年,41.56,1.41,16.72,41.75,9.59,17.73,1.32,13.26
2001年,54.65,1.49611379968,17.4095908491,39.6679865083,9.27511365303,19.9153834873,1.19694969937,14.52
2002年,56.4283619299,1.52676345505,18.4843818742,39.3821674732,9.61988561373,21.5326294178,1.29036515618,14.3122158674
2003年,58.6164393606,1.79319548321,18.9329520458,35.5232732072,10.0591875642,21.1185071125,1.3991494354,13.7103680892
2004年,51.8329667107,2.23786478956,18.7764481596,34.8304912754,10.1228552576,22.0605807303,1.42916849978,12.8781346238
2005年,60.2818595102,2.13345065259,20.2385980349,29.3286405644,8.69102507705,21.0314268956,1.76338172753,9.85456811852
2006年,61.7627218067,2.39189030652,21.0607567092,28.7496113812,9.44330547009,22.1156107934,1.83487314856,9.49263821678
2007年,63.5948819475,2.8539375275,19.0981522217,27.4984895146,9.75909957472,23.3526616806,1.91010412084,8.86361636604
2008年,67.75,3.12,18.99,26.0,10.26,24.1,2.03,8.73
2009年,63.32,3.37,19.39,25.39,10.48,25.12,2.29,8.64
2010年,62.2554626778,3.36163660361,19.4487461505,23.4165640123,10.6152368382,25.8829153835,2.40174512392,8.41970963484
2011年,81.8974369573,3.97647751197,19.8515250797,26.4806800209,10.4345663824,23.613787727,3.78283618879,4.3168305155
2012年,86.1259258567,4.39610184033,20.4891303317,26.3610545839,11.4932630897,25.4595378046,4.04956356663,4.30858076552
2013年,,,,,,,,
2014年,,,,,,,,
