,农村居民家庭拥有交通运输及邮电业生产性固定资产原值,农村居民家庭拥有其他生产性固定资产原值,农村居民家庭拥有农业生产性固定资产原值,农村居民家庭拥有工业固定资产原值,农村居民家庭拥有建筑业生产性固定资产原值,农村居民家庭拥有批发零售贸易及餐饮业固定资产原值,农村居民家庭拥有文教卫生业固定资产原值,农村居民家庭拥有生产性固定资产原值,农村居民家庭拥有社会服务业生产性固定资产原值
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,112.84,34.07,603.3405,42.2795,0.0,0.0,0.0,792.53,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,198.22,54.97,800.51,72.37,0.0,0.0,0.0,1126.07,0.0
1990年,215.82,60.45,898.93,82.56,0.0,0.0,0.0,1258.06,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,444.73,58.57,2088.23,182.73,0.0,0.0,0.0,2774.27,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3970.81,0.0
1999年,638.02,217.53,2915.49,274.45,0.0,0.0,0.0,4045.48,0.0
2000年,621.039329967,148.219590647,3321.65952199,334.791722943,29.0154295613,149.236097246,12.8560103353,4676.97928534,60.1615773093
2001年,630.30708315,130.812816327,3544.08540842,349.886244317,27.7788238745,134.853409591,16.4146209122,4883.8044288,49.6660214108
2002年,662.35505206,134.926939434,3741.01453292,418.203123625,34.3846751723,153.652940314,19.9611233319,5221.32836193,56.8299750697
2003年,640.472063352,122.117964511,4152.74902185,345.612054553,41.1342718874,201.853922863,23.5530283033,5586.34190937,58.8495820502
2004年,684.434829154,99.3191963631,4457.12983282,386.332438774,52.5039741898,194.495461211,21.5410764042,5956.181138,60.4243290805
2005年,863.375054993,52.0684557853,5179.46282739,537.483633964,62.0329227159,310.708153688,43.0016424696,7155.54506819,107.412377181
2006年,928.653057633,58.2044874615,5452.21209708,578.227789999,71.921102801,378.235093122,41.2701862443,7647.09203549,138.368221147
2007年,1032.68,71.34,6006.22,612.96,96.67,367.86,46.65,8389.84,155.46
2008年,1091.9,69.87,6537.78,634.55,92.52,398.2,50.97,9054.92,179.13
2009年,1214.21,76.85,6991.86,698.3,155.54,490.63,55.48,9970.57,287.71
2010年,1402.2,76.97,7444.3,796.92,187.0,543.07,58.37,10706.38,197.56
2011年,2294.55024204,144.25,10770.47,1011.99,317.725973636,1191.00598288,131.53,16087.52,225.99
2012年,2283.42357898,151.688733746,11406.1955095,1109.48061737,361.183645461,1279.79715867,121.178856648,16974.0915666,261.143466138
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
