,冷冻灾受灾面积,冷冻灾成灾面积,受灾面积,成灾面积,旱灾受灾面积,旱灾成灾面积,水灾受灾面积,水灾成灾面积,风雹灾受灾面积,风雹灾成灾面积
1978年,1308.0,804.0,50807.0,24457.0,32640.6666667,3558.66666667,3109.33333333,2012.0,6410.0,3558.66666667
1979年,2994.0,752.0,39367.3333333,15790.0,24646.0,9316.0,6757.33333333,2868.0,4970.0,2022.66666667
1980年,2352.0,1463.33333333,50025.3333333,29777.0,21901.3333333,3878.0,9686.66666667,6070.0,6476.66666667,3878.0
1981年,1174.66666667,628.666666667,39786.0,18743.3333333,25692.6666667,12134.0,8624.66666667,3972.66666667,4294.0,2000.0
1982年,1203.33333333,510.0,33133.3333333,16117.3333333,20697.3333333,9972.0,8360.66666667,4396.66666667,2872.0,1172.0
1983年,754.0,319.333333333,34713.3333333,16209.3333333,16088.6666667,7586.0,12162.0,5747.33333333,5708.66666667,2556.66666667
1984年,509.333333333,343.333333333,31887.3333333,15607.3333333,15818.6666667,7014.66666667,10632.0,5394.66666667,4927.33333333,2854.0
1985年,948.666666667,340.666666667,44365.3333333,22705.3333333,22989.3333333,3352.66666667,14197.3333333,8949.33333333,6230.0,3352.66666667
1986年,2008.0,570.666666667,47135.3333333,23656.0,31042.0,14764.6666667,9155.33333333,5601.33333333,4880.0,2689.33333333
1987年,2498.66666667,969.333333333,42086.0,20392.6666667,24920.0,13032.6666667,8686.0,4104.0,5980.66666667,2286.66666667
1988年,991.333333333,531.333333333,50874.0,24502.6666667,32904.0,15303.3333333,11949.3333333,6128.0,5029.33333333,1988.66666667
1989年,1896.0,964.666666667,46990.6666667,24448.6666667,29358.0,15262.0,11328.0,5916.66666667,4358.66666667,2279.33333333
1990年,2141.33333333,994.0,38474.0,17819.3333333,18174.6666667,3415.33333333,11804.0,5604.66666667,6354.0,3415.33333333
1991年,1714.66666667,624.666666667,55472.0,27814.0,24914.0,2016.66666667,24596.0,14614.0,4247.33333333,2016.66666667
1992年,3705.0,2057.0,51333.0,25895.0,32980.0,2324.0,9423.0,4464.0,5227.0,2324.0
1993年,4718.0,2230.0,48829.0,23133.0,21098.0,3637.0,16387.0,8611.0,6628.0,3636.0
1994年,1918.0,672.0,55043.0,31383.0,30425.0,2143.0,17329.0,10744.0,3793.0,2143.0
1995年,3578.0,1791.0,45821.0,22267.0,23455.0,2075.0,12731.0,7604.0,4479.0,2076.0
1996年,2048.0,900.0,46989.0,21234.0,20151.0,2116.0,18146.0,10855.0,4145.0,2115.0
1997年,2287.0,831.0,53427.0,30307.0,33516.0,2951.0,11415.0,5839.0,4493.0,2951.0
1998年,8665.0,3103.0,50145.0,25181.0,14236.0,3132.0,22292.0,13785.0,4740.0,3132.0
1999年,6626.0,2690.0,49981.0,26731.0,30156.0,2037.0,9019.5,5070.5,3590.0,2037.0
2000年,2795.0,1032.0,54688.0,34374.0,40541.0,1162.0,7323.0,4321.0,2307.0,1162.0
2001年,2978.0,1777.0,52214.6,31793.1,38472.0,2056.0,6042.0,3614.0,3627.0,2056.0
2002年,4212.0,2293.0,46946.1,27159.9,22124.0,3832.0,12287.8,7387.9,7477.0,3832.0
2003年,4482.8,2110.3,54505.8,32516.3,24852.0,2928.0,19208.0,12289.0,4790.9,2928.2
2004年,3710.56301,1665.1,37106.256181,16297.3165,17253.44935,2191.3,7313.62696,3746.5165,5796.87928456,2191.3
2005年,4428.089,1838.4,38818.2251,19966.06,16028.0802,8479.2,10931.7533,6046.96,2977.0426,1635.3
2006年,4912.6,2835.5,41091.41,24631.94,20737.91,13411.34,8003.098,4568.8,4387.3635,2144.2
2007年,4071.93333333,1509.3,48992.3533333,25063.82,29385.6666667,16169.9333333,10463.2666667,5104.86666667,2985.86666667,1415.4
2008年,14695.6271,8719.23333333,39990.033981,22283.5366667,12136.8,6797.6,6476.5,3655.61,4179.81708095,2123.13333333
2009年,3672.52,1445.6,47213.6566667,21234.2633333,29258.72,13197.12,7612.86333333,3161.97,5493.06666667,2944.05333333
2010年,4120.7,1443.7,37425.9,18538.1,13258.6,8986.5,17524.6,7024.2,2180.1,916.1
2011年,4447.1,1290.9,32470.5,12441.3,16304.2,6598.5,6863.4,2839.5,3309.3,1347.9
2012年,1617.8,794.6,24962.0,11474.9,9339.8,3508.6,7729.6,4144.5,2780.8,1368.4
2013年,2320.0,885.0,31349.8,14303.1,14100.4,5851.9,8760.0,4860.0,3387.0,1682.0
2014年,0.0,0.0,24890.7,12678.3,12271.7,5677.1,4718.2,2704.1,0.0,0.0
