,2.0-3.3万公顷灌区有效灌溉面积,3.3万公顷以上灌区有效灌溉面积,中型水库容量,中型水库数,堤防保护面积,堤防长度,大型水库容量,大型水库数,小型水库容量,小型水库数,水土流失治理面积,水库容量,水库数,灌区有效灌溉面积,节水灌溉面积,除涝面积
1978年,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,
1985年,1670.0,5996.0,661.0,2401.0,31060.0,17.7,3076.0,340.0,564.0,80478.0,46400.0,4301.0,83219.0,20777.0,,18584.0
1986年,,5988.0,666.0,2415.0,31666.0,18.5,3199.0,350.0,566.6,79951.0,47900.0,4432.0,82716.0,20869.0,,18761.0
1987年,1833.0,601.4,672.0,2428.0,32204.0,20.0,3233.0,353.0,569.7,80089.0,49500.0,4475.0,82870.0,21144.0,,18958.0
1988年,1877.0,6066.0,681.0,2462.0,32330.0,20.3,3252.0,355.0,570.9,80120.0,51300.0,4504.0,82937.0,21075.0,,19058.0
1989年,1933.0,6119.0,688.0,2480.0,31966.0,21.7,3357.0,358.0,572.1,80010.0,52200.0,4617.0,82848.0,21177.0,,19229.0
1990年,1896.0,6047.0,690.0,2499.0,32000.0,22.0,3397.0,366.0,573.0,80522.0,53000.0,4660.0,83387.0,21231.0,,19337.0
1991年,2183.0,6168.0,698.0,2524.0,32100.0,23.3,3400.0,367.0,578.9,80908.0,55800.0,4247.76,83793.0,23292.0,,19580.0
1992年,,6184.0,700.0,2538.0,29565.0,24.2,3407.0,369.0,580.0,81223.0,58600.0,4687.59,84130.0,23632.0,,19771.0
1993年,,6239.0,709.0,2562.0,30885.0,24.5,3425.0,374.0,583.0,81678.0,61300.0,4716.62,84614.0,24483.0,,19883.0
1994年,,,,,,,,,,,64100.0,4751.0,84558.0,,,19979.0
1995年,2444.0,6314.0,719.0,2593.0,30609.0,24.7,3493.0,387.0,585.0,81795.0,66900.0,4797.0,84775.0,22499.0,,20065.0
1996年,2665.0,6150.0,724.0,2618.0,32686.0,24.8,3260.0,394.0,587.0,81893.0,69321.0,4571.0,84905.0,,,20279.0
1997年,2862.0,6408.0,729.0,2634.0,34146.0,25.1,3267.0,397.0,587.0,81806.0,72242.0,4583.0,84837.0,22495.0,,20526.0
1998年,2769.0,6691.0,736.0,2653.0,36290.0,25.8,3597.0,403.0,591.0,81938.0,75022.0,4924.0,84994.0,22746.0,1523.5,20681.0
1999年,,,,,,,,,,,75022.0,4924.2,84944.0,53158.4,,20680.6666667
2000年,3440.0,7883.0,746.0,2704.0,39600.0,27.0,3842.0,420.0,594.0,81996.0,80960.0,5184.0,85120.0,24493.0,16389.0,20989.0
2001年,4054.0,8617.0,758.0,2736.0,40671.0,27.34,3927.0,433.0,595.0,81967.0,81539.3,5281.34,85136.0,24766.0,1744.63,21021.1
2002年,4072.0,9158.0,767.0,2781.0,42862.0,27.4,4229.0,445.0,597.0,82062.0,85410.0,5595.0,85288.0,25030.0,18627.0,21097.0
2003年,4084.0,9381.0,783.0,2827.0,43875.0,27.8,4278.0,453.0,597.0,81873.0,89710.0,5658.0,85153.0,25244.0,19443.0,21139.0
2004年,4057.0,9714.0,796.0,2869.0,43934.0,27.7,4147.0,460.0,599.0,81831.0,92000.0,5542.0,85160.0,25506.0,20346.0,21198.0
2005年,4080.0,10230.0,826.0,2934.0,44120.0,27.7,4197.0,470.0,602.0,81704.0,94650.0,5624.0,85108.0,26419.0,21338.0,21339.0
2006年,4092.0,10520.0,851.6,3000.0,45486.0,28.1,4379.0,482.0,611.0,82367.0,97491.0,5842.0,85849.0,28021.0,22426.0,21376.0
2007年,4149.0,10520.0,882.7908,3110.0,45518.0,28.4,4836.3407,493.0,625.4056,81809.0,99870.95555,6344.5371,85412.0,28340.0,23489.0,21419.137301
2008年,5517.0,11207.0,910.3944,3181.0,45712.0,28.6896,5385.6826,529.0,627.9198,82643.0,101587.03,6923.9969,86353.0,29440.0,24435.52,21424.55
2009年,4747.0,10828.0,921.0,3259.0,46547.0,29.1,5506.0,544.0,636.0,83348.0,104540.0,7064.0,87151.0,29562.0,25755.0,21584.0
2010年,4740.0,10918.0,930.0,3269.0,46831.0,29.4,5594.0,552.0,638.0,84052.0,106800.0,7162.0,87873.0,29415.0,27314.0,21692.0
2011年,4796.0,10999.0,954.0,3346.0,45956.0,30.0,5602.0,567.0,645.0,84692.0,109663.81968,7200.50208,88605.0,29748.0,29179.0,21721.6197
2012年,5017.0,6243.0,1064.0,3758.0,42597.0,27.7,6493.0,683.0,698.0,93102.0,102953.0,8255.0,97543.0,30191.0,31217.0,21857.0
2013年,5010.0,6241.0,1070.0,3774.0,40317.0,27.5,6529.0,687.0,699.0,93260.0,106892.0,8298.0,97721.0,30216.0,27109.0,21943.0
2014年,5010.0,6241.0,1077.13738,3799.0,42794.0,28.4425,6618.0,697.0,700.517482,93239.0,111609.337055,8395.641062,97735.0,30216.0,29018.76,22369.34103
