,半细羊毛产量,山羊毛产量,牛奶产量,牛肉产量,猪肉产量,禽蛋产量,细羊毛产量,绵羊毛产量,羊绒产量,羊肉产量,肉类产量,蜂蜜产量
1978年,0.0,10000.0,88.3,0.0,0.0,0.0,0.0,138000.0,4000.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.4,0.0
1980年,34586.5,11686.5,114.1043,26.8695,1134.07006,0.0,69034.5,175728.1,4005.0,44.47535,1205.4,9.632
1981年,39497.5,14070.0,129.0607,24.8412,1188.42635,0.0,74721.5,189062.0,3761.5,47.60795,1260.9,11.0358
1982年,41718.5,12740.5,161.8352,26.5563,1271.84735,280.85475,88387.5,201836.5,3832.5,52.39285,1350.82,13.5971
1983年,38008.0,11102.5,184.52425,31.48325,1316.13985,332.33595,88949.0,194093.0,3560.5,54.4658,1402.1,14.3276
1984年,34383.5,10588.0,218.6356,37.276,1444.74935,431.6266,85547.5,182776.0,3424.0,58.57525,1540.6,14.75025
1985年,32069.6,10511.5,249.9,46.7,1654.7,534.7,85861.4,177953.0,2988.8,59.32,1926.5,15.5
1986年,32047.6,11501.1,289.9,58.9,1796.0,555.0,89757.5,185196.1,3470.0,62.2,2112.4,17.2
1987年,37040.2,12611.2,330.1,79.2,1834.9,590.2,100059.0,208908.9,4002.6,71.9,2215.5,20.4
1988年,40831.9,14325.8,366.0,95.8,2017.6,695.5,110676.8,221736.8,4710.0,80.2,2479.5,19.5
1989年,42555.5,16168.4,381.3,107.2,2122.8,719.8,120111.3,237331.6,5434.7,96.2,2628.5,18.9
1990年,44246.0,16506.0,415.7,125.6,2281.1,794.6,119457.0,239457.0,5751.0,106.8,2857.0,19.3
1991年,55839.0,16498.0,464.6,153.5,2452.3,922.0,108613.0,239607.0,5930.0,118.2,3144.4,20.6
1992年,52478.0,17496.0,503.1,180.3,2635.3,1019.9,106201.0,238192.0,5886.0,125.0,3430.7,17.8
1993年,53624.0,19020.0,498.6,233.6,2854.4,1179.8,109969.0,240309.0,6479.0,137.3,3841.5,17.5
1994年,58337.0,24559.0,528.7912,327.0184,3204.8305,1478.9911,113357.0,254659.0,7336.0,160.8944,4499.3,17.67943
1995年,70369.2,29973.0,576.3777,415.3626,3648.3677,1676.6613,114218.5,277375.0,8482.0,201.5205,5260.0869,17.769
1996年,74099.0,35284.0,629.4,355.7,3158.0,1965.2,121020.0,298102.0,9585.0,181.0,4584.0,18.3
1997年,55683.0,25865.0,601.1,440.9,3596.3,1897.1,116054.0,255059.0,8626.0,212.8,5268.8,21.1
1998年,68775.0,31417.0,662.9,479.9,3883.7,2021.3,115752.0,277545.0,9799.0,234.6,5723.8,20.7
1999年,73700.0,31849.0,717.6,505.4,4005.6,2134.7,114103.0,283152.0,10180.0,251.3,5949.0,23.0
2000年,84921.0,33266.0,827.4307,513.1166,3965.988,2182.0057,117386.0,292502.0,11057.0,264.1301,6013.9015,24.6
2001年,88075.0,34241.0,1025.5,508.6,4051.7,2210.1,114651.0,298254.0,10968.0,271.8,6105.8,25.2
2002年,102418.68,35459.05,1299.8,521.9,4123.1,2265.7,112193.0,307588.0,11765.0,283.5,6234.3,26.5
2003年,110249.23,36691.65,1746.3,542.5,4238.6,2333.1,120263.0,338058.23,13528.0,308.7,6443.3,28.9
2004年,119513.71,37727.14,2260.6,560.4,4341.0,2370.6,130413.18,373901.69,14514.7,332.9,6608.7,29.32
2005年,123067.814,36903.881,2753.3729,568.0988,4555.3275,2438.1201,127862.211,393171.592,15434.832,350.0601,6938.865,29.3211329
2006年,116097.806,40512.365,3193.4075,576.6718,4650.453,2424.0027,131807.695,388776.777,16395.062,363.837,7089.0407,33.2595917
2007年,106760.070595,38381.7355943,3525.2442,613.4094,4287.8169,2528.9826,123920.388346,363469.863941,18483.385,382.6235,6865.7208,35.3501282744
2008年,104838.38,44406.093,3555.82250461,613.167945437,4620.50215219,2702.19753968,123837.766,367687.427,17184.0,380.349640169,7278.74150794,40.0
2009年,113017.825,49453.181,3518.83663579,635.543358043,4890.75551018,2742.470649,127351.932,364001.834,16963.708,389.418194443,7649.74865714,40.1540007
2010年,114944.342,42713.786,3575.61660282,653.055369539,5071.23588362,2762.73727649,123173.459,386768.293,18518.477,398.857284197,7925.83177638,40.1155353
2011年,120118.654,44046.971,3657.8476318,647.49338,5060.4,2811.41809452,132835.745,393072.195,17989.064,393.101354198,7965.1,43.1156971
2012年,131982.513,43924.123,3743.59726107,662.26158102,5342.69743648,2861.17321462,125708.603,400057.002,18021.217,400.989047004,8387.24193213,44.8418455
2013年,135329.6422,41875.40405,3531.42433916,673.209813878,5493.02651226,2876.05625515,133246.5266,411121.878,18113.80845,408.136865569,8535.02456453,45.0309603
2014年,142253.317,40045.50657,3724.63796293,689.243345191,5671.38634419,2893.8912048,124915.241,419517.592,19277.94496,428.212984551,8706.73892675,46.8228915
