,乡镇卫生院入院人数,乡镇卫生院出院者平均住院日,乡镇卫生院病床使用率,乡镇卫生院诊疗人次
1978年,,,,
1979年,,,,
1980年,,,,
1981年,2123.0,6.3,53.5,14.38
1982年,,,,
1983年,,,,
1984年,,,,
1985年,1771.0,5.9,46.0,11.0
1986年,,,,
1987年,,,,
1988年,,,,
1989年,,,,
1990年,1958.0,5.2,43.4,10.65
1991年,,5.1,43.5,10.82
1992年,,5.1,42.9,10.34
1993年,,4.6,38.4,8.98
1994年,,4.6,40.5,9.73
1995年,1960.0,4.6,40.2,9.38
1996年,1916.0,4.4,37.0,9.44
1997年,1918.0,4.5,34.5,9.16
1998年,1751.0,4.6,33.3,8.74
1999年,1688.0,4.6,32.8,8.38
2000年,1708.0,4.6,33.2,8.24
2001年,1700.0,4.5,31.3,8.24
2002年,1625.0,3.99,34.72,7.1
2003年,1608.0,4.21,36.24,6.91
2004年,1599.0,4.43,37.14,6.81
2005年,1622.0,4.63,37.7,6.79
2006年,1836.0,4.62,39.35,7.01
2007年,2662.0,4.81787113097,48.4043234205,7.58558682
2008年,3312.7226,4.4355387637,55.8174670378,8.26800671
2009年,3807.7222,4.79095295285,60.7036175121,8.76608232
2010年,3630.38,5.2,59.04,8.74
2011年,3448.7819,5.5832211584,58.1221390051,8.6649846
2012年,3907.5,5.67745243058,62.0733701682,9.67577839
2013年,3937.1515,5.9213364129,62.833169106,10.07127372
2014年,3732.6053,6.2671714911,60.4960206459,10.28659132
