,专业公共卫生机构病床工作日,专科医院病床工作日,专科疾病防治院(所、站)病床工作日,中医医院病床工作日,中西医结合医院病床工作日,临床检验中心病床工作日,乡镇卫生院病床工作日,其他医疗卫生机构病床工作日,医院病床工作日,卫生院病床工作日,各类医疗卫生机构病床工作日,基层医疗卫生机构病床工作日,妇幼保健院(所、站)病床工作日,护理院病床工作日,民族医院病床工作日,疗养院病床工作日,社区卫生服务中心(站)病床工作日,综合医院病床工作日,街道卫生院病床工作日,门诊部病床工作日
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,
2010年,261.979457804,312.905432739,242.347070973,306.940045041,,,215.499310823,183.271142491,316.453717601,215.575812998,288.184223686,212.71732837,265.988036424,,,183.281275918,199.050305108,319.267264387,219.618649741,107.329904056
2011年,268.946215916,317.39570256,247.852567282,315.132199081,304.45036067,,212.145807369,184.69048318,322.934704409,212.127347073,293.265554355,209.183038938,273.448913646,294.333399596,271.174499451,184.690510348,195.217417054,325.95229364,210.25169697,123.844765975
2012年,278.224039392,320.611505982,263.184996311,324.141063422,314.401377729,,227.188534816,194.107046936,329.703835011,227.138484804,303.033925884,223.343389349,281.395644369,288.533594001,273.198820399,194.107046936,199.826793262,333.090188916,221.61236881,
2013年,268.992379877,315.268641927,267.590326224,323.327204605,312.881806969,,229.341067237,194.110066033,324.816346333,229.170756587,300.828519053,225.891095278,269.289779764,285.053230177,263.219889097,194.110066033,205.109678243,327.624120171,207.798307823,
2014年,273.575267885,314.549940602,270.006368088,318.806760964,307.369827748,,220.810475358,194.816851579,321.381664362,220.609649953,297.713916873,217.944520704,274.280725369,286.569965654,260.358033722,194.816851579,200.860814474,324.011916663,194.153259504,
