,固定资产投资(不含农户)在建净规模,固定资产投资(不含农户)在建总规模,固定资产投资(不含农户)建设总规模
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,,,
1984年,,,
1985年,,,
1986年,,,
1987年,,,
1988年,,,
1989年,,,
1990年,,,
1991年,,,
1992年,,,
1993年,,,
1994年,,,
1995年,23871.93,47651.14,56212.39
1996年,29074.47,56584.44,67105.77
1997年,30234.2,61379.8,72961.94
1998年,32953.26,68223.34,81301.77
1999年,33361.12,70997.52,86717.18
2000年,33496.8,73255.21,91641.68
2001年,45164.93,88031.74,106854.61
2002年,52618.01,100672.95,122413.69
2003年,63186.97,121978.1,147038.73
2004年,84641.89,167566.02,192739.3
2005年,106583.0424,205611.816,247510.3064
2006年,118490.0078,241300.0223,299682.1417
2007年,144032.8243,296935.3536,366270.2559
2008年,177745.8081,372392.6106,462788.0254
2009年,236219.6533,479245.9909,600131.6239
2010年,301424.1,618982.2,769426.7
2011年,347240.5434,725708.0352,935585.5773
2012年,407020.2911,870228.6989,1126072.5786
2013年,,,
2014年,,,
