,固定资产投资(不含农户)住宅施工面积,固定资产投资(不含农户)住宅竣工面积,固定资产投资(不含农户)房屋施工面积,固定资产投资(不含农户)房屋竣工面积,固定资产投资(不含农户)竣工住宅价值,固定资产投资(不含农户)竣工房屋价值
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,68557.91,37489.09,120453.62,58631.12,21718341.0,42334191.0
1996年,68834.7,39450.48,123011.08,61443.39,26342454.0,49683191.0
1997年,68567.98,40550.16,120739.25,62490.19,28336189.0,52800865.0
1998年,83872.76,47616.87,136669.32,70166.13,33588166.0,60126323.0
1999年,91835.44,55868.93,144319.25,79646.07,40121955.0,67910423.0
2000年,94441.64,54859.85,151691.32,80507.92,41221166.0,70145529.0
2001年,103643.56,57476.46,166837.58,85278.88,44636520.0,74635494.0
2002年,113848.52,59793.64,189973.42,93018.27,49200445.0,84352735.0
2003年,124386.45,54971.52,221258.13,93114.71,58836604.0,101264230.0
2004年,142936.6,56897.34,259252.19,101033.76,61440621.0,111189827.0
2005年,166143.4387,66141.9282,304904.3485,118125.8101,76827558.0,139523767.0
2006年,187898.404,63046.9064,345152.0421,120705.2581,81962293.0,153401097.0
2007年,226159.6527,68820.7793,414941.7508,134247.4992,96222015.0,180434095.0
2008年,269918.3976,75969.0582,489110.5819,147066.4088,113715961.0,215153256.0
2009年,312039.6636,82101.491,577357.2749,164539.273,140813198.0,271283551.0
2010年,376588.508,86879.8414,706379.244,175429.6232,162708363.0,316269857.0
2011年,465729.719,102513.1768,917063.7233,226020.0107,208291533.0,424093845.0
2012年,516796.9996,107326.9568,1061721.7798,241315.7338,234420985.0,488007007.0
2013年,573119.8875,107375.4864,1227045.6103,257234.1228,246699652.0,545053003.0
2014年,594324.924,108775.4595,1251886.5707,264780.9237,265486426.0,579874713.0
