,住宅商品房销售额,其他商品房销售额,别墅、高档公寓销售额,办公楼销售额,商业营业用房销售额,商品房销售额
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,3228.6046,42.9848,274.7459,207.6259,456.227,3935.4423
2001年,4021.1543,55.7969,381.8443,230.5635,555.2383,4862.7517
2002年,4957.8501,66.8651,515.5663,233.6572,773.9689,6032.3413
2003年,6543.4492,106.4782,600.9049,264.5314,1041.2039,7955.6627
2004年,8619.3667,143.4802,882.339683137,383.32,1229.54,10375.7069
2005年,14563.7616,203.9351,1644.2658,758.8685,2049.5673,17576.1325
2006年,17287.807,270.949,2418.2797,991.3327,2275.8744,20825.9631
2007年,25565.8111,371.6762,3422.8072,1269.9134,2681.7182,29889.1189
2008年,21196.0034,426.9731,2235.0735,969.3567,2475.8498,25068.183
2009年,38432.8951,623.1996,4469.7602,1638.4053,3660.6695,44355.1695
2010年,44120.6524,1026.0674,4613.1111,2155.7063,5418.8156,52721.2417
2011年,48198.322,1239.8757,4100.6567,2471.5816,6679.0787,58588.858
2012年,53467.182,1215.5969,3983.5632,2773.4349,6999.5718,64455.7856
2013年,67694.9367,1705.5197,4573.1851,3747.3497,8280.4781,81428.2842
2014年,62410.9534,2007.9069,3950.8568,2962.9279,8910.6215,76292.4097
