,专业技术服务业固定资产交付使用率,专用设备制造业固定资产交付使用率,中国共产党机关固定资产交付使用率,交通运输、仓储和邮政业固定资产交付使用率,交通运输设备制造业固定资产交付使用率,人民政协和民主党派固定资产交付使用率,仓储业固定资产交付使用率,仪器仪表文化办公用机械制造业固定资产交付使用率,住宿业固定资产交付使用率,住宿和餐饮业固定资产交付使用率,体育固定资产交付使用率,保险业固定资产交付使用率,信息传输、计算机服务和软件业固定资产交付使用率,公共管理和社会组织固定资产交付使用率,公共设施管理业固定资产交付使用率,其他建筑业固定资产交付使用率,其他服务业固定资产交付使用率,其他采矿业固定资产交付使用率,其他金融活动固定资产交付使用率,农、林、牧、渔业固定资产交付使用率,农、林、牧、渔服务业固定资产交付使用率,农业固定资产交付使用率,农副食品加工业固定资产交付使用率,制造业固定资产交付使用率,化学原料及化学制品制造业固定资产交付使用率,化学纤维制造业固定资产交付使用率,医药制造业固定资产交付使用率,卫生、社会保障和社会福利业固定资产交付使用率,卫生固定资产交付使用率,印刷业和记录媒介的复制固定资产交付使用率,商务服务业固定资产交付使用率,固定资产交付使用率,国家机构固定资产交付使用率,国际组织固定资产交付使用率,地质勘查业固定资产交付使用率,城市公共交通业固定资产交付使用率,基层群众自治组织固定资产交付使用率,塑料制品业固定资产交付使用率,娱乐业固定资产交付使用率,家具制造业固定资产交付使用率,居民服务业固定资产交付使用率,居民服务和其他服务业固定资产交付使用率,工艺品及其他制造业固定资产交付使用率,广播、电视、电影和音像业固定资产交付使用率,废弃资源和废旧材料回收加工业固定资产交付使用率,建筑业固定资产交付使用率,建筑安装业固定资产交付使用率,建筑装饰业固定资产交付使用率,房地产业固定资产交付使用率,房屋和土木工程建筑业固定资产交付使用率,批发业固定资产交付使用率,批发和零售业固定资产交付使用率,教育固定资产交付使用率,文化、体育和娱乐业固定资产交付使用率,文化艺术业固定资产交付使用率,文教体育用品制造业固定资产交付使用率,新闻出版业固定资产交付使用率,有色金属冶炼及压延加工业固定资产交付使用率,有色金属矿采选业固定资产交付使用率,木材加工及木竹藤棕草制品业固定资产交付使用率,林业固定资产交付使用率,橡胶制品业固定资产交付使用率,水上运输业固定资产交付使用率,水利、环境和公共设施管理业固定资产交付使用率,水利管理业固定资产交付使用率,水的生产和供应业固定资产交付使用率,渔业固定资产交付使用率,烟草制品业固定资产交付使用率,煤炭开采和洗选业固定资产交付使用率,燃气生产和供应业固定资产交付使用率,环境管理业固定资产交付使用率,电信和其他信息传输服务业固定资产交付使用率,电力、热力的生产和供应业固定资产交付使用率,电力燃气水的生产供应业固定资产交付使用率,电气机械及器材制造业固定资产交付使用率,畜牧业固定资产交付使用率,皮革毛皮羽毛(绒)及其制品业固定资产交付使用率,石油加工、炼焦及核燃料加工业固定资产交付使用率,石油和天然气开采业固定资产交付使用率,研究与试验发展固定资产交付使用率,社会保障业固定资产交付使用率,社会福利业固定资产交付使用率,科学研究、技术服务和地质勘查业固定资产交付使用率,科技交流和推广服务业固定资产交付使用率,租赁业固定资产交付使用率,租赁和商务服务业固定资产交付使用率,管道运输业固定资产交付使用率,纺织业固定资产交付使用率,纺织服装、鞋、帽制造业固定资产交付使用率,群众团体、社会团体和宗教组织固定资产交付使用率,航空运输业固定资产交付使用率,装卸搬运和其他运输服务业固定资产交付使用率,计算机服务业固定资产交付使用率,证券业固定资产交付使用率,软件业固定资产交付使用率,通信设备、计算机及其他电子设备制造业固定资产交付使用率,通用设备制造业固定资产交付使用率,造纸及纸制品业固定资产交付使用率,道路运输业固定资产交付使用率,邮政业固定资产交付使用率,采矿业固定资产交付使用率,金属制品业固定资产交付使用率,金融业固定资产交付使用率,铁路运输业固定资产交付使用率,银行业固定资产交付使用率,零售业固定资产交付使用率,非金属矿物制品业固定资产交付使用率,非金属矿采选业固定资产交付使用率,食品制造业固定资产交付使用率,餐饮业固定资产交付使用率,饮料制造业固定资产交付使用率,黑色金属冶炼及压延加工业固定资产交付使用率,黑色金属矿采选业固定资产交付使用率
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
