,专业技术服务业固定资产投资(不含农户)其他费用,专用设备制造业固定资产投资(不含农户)其他费用,中国共产党机关固定资产投资(不含农户)其他费用,交通运输、仓储和邮政业固定资产投资(不含农户)其他费用,交通运输设备制造业固定资产投资(不含农户)其他费用,人民政协和民主党派固定资产投资(不含农户)其他费用,仓储业固定资产投资(不含农户)其他费用,仪器仪表文化办公用机械制造业固定资产投资(不含农户)其他费用,住宿业固定资产投资(不含农户)其他费用,住宿和餐饮业固定资产投资(不含农户)其他费用,体育固定资产投资(不含农户)其他费用,保险业固定资产投资(不含农户)其他费用,信息传输、计算机服务和软件业固定资产投资(不含农户)其他费用,公共管理和社会组织固定资产投资(不含农户)其他费用,公共设施管理业固定资产投资(不含农户)其他费用,其他建筑业固定资产投资(不含农户)其他费用,其他服务业固定资产投资(不含农户)其他费用,其他采矿业固定资产投资(不含农户)其他费用,其他金融活动固定资产投资(不含农户)其他费用,农、林、牧、渔业固定资产投资(不含农户)其他费用,农、林、牧、渔服务业固定资产投资(不含农户)其他费用,农业固定资产投资(不含农户)其他费用,农副食品加工业固定资产投资(不含农户)其他费用,制造业固定资产投资(不含农户)其他费用,化学原料及化学制品制造业固定资产投资(不含农户)其他费用,化学纤维制造业固定资产投资(不含农户)其他费用,医药制造业固定资产投资(不含农户)其他费用,卫生、社会保障和社会福利业固定资产投资(不含农户)其他费用,卫生固定资产投资(不含农户)其他费用,印刷业和记录媒介的复制固定资产投资(不含农户)其他费用,商务服务业固定资产投资(不含农户)其他费用,固定资产投资(不含农户)其他费用,国家机构固定资产投资(不含农户)其他费用,国际组织固定资产投资(不含农户)其他费用,地质勘查业固定资产投资(不含农户)其他费用,城市公共交通业固定资产投资(不含农户)其他费用,基层群众自治组织固定资产投资(不含农户)其他费用,塑料制品业固定资产投资(不含农户)其他费用,娱乐业固定资产投资(不含农户)其他费用,家具制造业固定资产投资(不含农户)其他费用,居民服务业固定资产投资(不含农户)其他费用,居民服务和其他服务业固定资产投资(不含农户)其他费用,工艺品及其他制造业固定资产投资(不含农户)其他费用,广播、电视、电影和音像业固定资产投资(不含农户)其他费用,废弃资源和废旧材料回收加工业固定资产投资(不含农户)其他费用,建筑业固定资产投资(不含农户)其他费用,建筑安装业固定资产投资(不含农户)其他费用,建筑装饰业固定资产投资(不含农户)其他费用,房地产业固定资产投资(不含农户)其他费用,房屋和土木工程建筑业固定资产投资(不含农户)其他费用,批发业固定资产投资(不含农户)其他费用,批发和零售业固定资产投资(不含农户)其他费用,教育固定资产投资(不含农户)其他费用,文化、体育和娱乐业固定资产投资(不含农户)其他费用,文化艺术业固定资产投资(不含农户)其他费用,文教体育用品制造业固定资产投资(不含农户)其他费用,新闻出版业固定资产投资(不含农户)其他费用,有色金属冶炼及压延加工业固定资产投资(不含农户)其他费用,有色金属矿采选业固定资产投资(不含农户)其他费用,木材加工及木竹藤棕草制品业固定资产投资(不含农户)其他费用,林业固定资产投资(不含农户)其他费用,橡胶制品业固定资产投资(不含农户)其他费用,水上运输业固定资产投资(不含农户)其他费用,水利、环境和公共设施管理业固定资产投资(不含农户)其他费用,水利管理业固定资产投资(不含农户)其他费用,水的生产和供应业固定资产投资(不含农户)其他费用,渔业固定资产投资(不含农户)其他费用,烟草制品业固定资产投资(不含农户)其他费用,煤炭开采和洗选业固定资产投资(不含农户)其他费用,燃气生产和供应业固定资产投资(不含农户)其他费用,环境管理业固定资产投资(不含农户)其他费用,电信和其他信息传输服务业固定资产投资(不含农户)其他费用,电力、热力的生产和供应业固定资产投资(不含农户)其他费用,电力燃气水的生产供应业固定资产投资(不含农户)其他费用,电气机械及器材制造业固定资产投资(不含农户)其他费用,畜牧业固定资产投资(不含农户)其他费用,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)其他费用,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)其他费用,石油和天然气开采业固定资产投资(不含农户)其他费用,研究与试验发展固定资产投资(不含农户)其他费用,社会保障业固定资产投资(不含农户)其他费用,社会福利业固定资产投资(不含农户)其他费用,科学研究、技术服务和地质勘查业固定资产投资(不含农户)其他费用,科技交流和推广服务业固定资产投资(不含农户)其他费用,租赁业固定资产投资(不含农户)其他费用,租赁和商务服务业固定资产投资(不含农户)其他费用,管道运输业固定资产投资(不含农户)其他费用,纺织业固定资产投资(不含农户)其他费用,纺织服装、鞋、帽制造业固定资产投资(不含农户)其他费用,群众团体、社会团体和宗教组织固定资产投资(不含农户)其他费用,航空运输业固定资产投资(不含农户)其他费用,装卸搬运和其他运输服务业固定资产投资(不含农户)其他费用,计算机服务业固定资产投资(不含农户)其他费用,证券业固定资产投资(不含农户)其他费用,软件业固定资产投资(不含农户)其他费用,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)其他费用,通用设备制造业固定资产投资(不含农户)其他费用,造纸及纸制品业固定资产投资(不含农户)其他费用,道路运输业固定资产投资(不含农户)其他费用,邮政业固定资产投资(不含农户)其他费用,采矿业固定资产投资(不含农户)其他费用,金属制品业固定资产投资(不含农户)其他费用,金融业固定资产投资(不含农户)其他费用,铁路运输业固定资产投资(不含农户)其他费用,银行业固定资产投资(不含农户)其他费用,零售业固定资产投资(不含农户)其他费用,非金属矿物制品业固定资产投资(不含农户)其他费用,非金属矿采选业固定资产投资(不含农户)其他费用,食品制造业固定资产投资(不含农户)其他费用,餐饮业固定资产投资(不含农户)其他费用,饮料制造业固定资产投资(不含农户)其他费用,黑色金属冶炼及压延加工业固定资产投资(不含农户)其他费用,黑色金属矿采选业固定资产投资(不含农户)其他费用
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
