,专业技术服务业固定资产投资(不含农户)设备工器具购置,专用设备制造业固定资产投资(不含农户)设备工器具购置,中国共产党机关固定资产投资(不含农户)设备工器具购置,交通运输、仓储和邮政业固定资产投资(不含农户)设备工器具购置,交通运输设备制造业固定资产投资(不含农户)设备工器具购置,人民政协和民主党派固定资产投资(不含农户)设备工器具购置,仓储业固定资产投资(不含农户)设备工器具购置,仪器仪表文化办公用机械制造业固定资产投资(不含农户)设备工器具购置,住宿业固定资产投资(不含农户)设备工器具购置,住宿和餐饮业固定资产投资(不含农户)设备工器具购置,体育固定资产投资(不含农户)设备工器具购置,保险业固定资产投资(不含农户)设备工器具购置,信息传输、计算机服务和软件业固定资产投资(不含农户)设备工器具购置,公共管理和社会组织固定资产投资(不含农户)设备工器具购置,公共设施管理业固定资产投资(不含农户)设备工器具购置,其他建筑业固定资产投资(不含农户)设备工器具购置,其他服务业固定资产投资(不含农户)设备工器具购置,其他采矿业固定资产投资(不含农户)设备工器具购置,其他金融活动固定资产投资(不含农户)设备工器具购置,农、林、牧、渔业固定资产投资(不含农户)设备工器具购置,农、林、牧、渔服务业固定资产投资(不含农户)设备工器具购置,农业固定资产投资(不含农户)设备工器具购置,农副食品加工业固定资产投资(不含农户)设备工器具购置,制造业固定资产投资(不含农户)设备工器具购置,化学原料及化学制品制造业固定资产投资(不含农户)设备工器具购置,化学纤维制造业固定资产投资(不含农户)设备工器具购置,医药制造业固定资产投资(不含农户)设备工器具购置,卫生、社会保障和社会福利业固定资产投资(不含农户)设备工器具购置,卫生固定资产投资(不含农户)设备工器具购置,印刷业和记录媒介的复制固定资产投资(不含农户)设备工器具购置,商务服务业固定资产投资(不含农户)设备工器具购置,固定资产投资(不含农户)设备工器具购置,国家机构固定资产投资(不含农户)设备工器具购置,国际组织固定资产投资(不含农户)设备工器具购置,地质勘查业固定资产投资(不含农户)设备工器具购置,城市公共交通业固定资产投资(不含农户)设备工器具购置,基层群众自治组织固定资产投资(不含农户)设备工器具购置,塑料制品业固定资产投资(不含农户)设备工器具购置,娱乐业固定资产投资(不含农户)设备工器具购置,家具制造业固定资产投资(不含农户)设备工器具购置,居民服务业固定资产投资(不含农户)设备工器具购置,居民服务和其他服务业固定资产投资(不含农户)设备工器具购置,工艺品及其他制造业固定资产投资(不含农户)设备工器具购置,广播、电视、电影和音像业固定资产投资(不含农户)设备工器具购置,废弃资源和废旧材料回收加工业固定资产投资(不含农户)设备工器具购置,建筑业固定资产投资(不含农户)设备工器具购置,建筑安装业固定资产投资(不含农户)设备工器具购置,建筑装饰业固定资产投资(不含农户)设备工器具购置,房地产业固定资产投资(不含农户)设备工器具购置,房屋和土木工程建筑业固定资产投资(不含农户)设备工器具购置,批发业固定资产投资(不含农户)设备工器具购置,批发和零售业固定资产投资(不含农户)设备工器具购置,教育固定资产投资(不含农户)设备工器具购置,文化、体育和娱乐业固定资产投资(不含农户)设备工器具购置,文化艺术业固定资产投资(不含农户)设备工器具购置,文教体育用品制造业固定资产投资(不含农户)设备工器具购置,新闻出版业固定资产投资(不含农户)设备工器具购置,有色金属冶炼及压延加工业固定资产投资(不含农户)设备工器具购置,有色金属矿采选业固定资产投资(不含农户)设备工器具购置,木材加工及木竹藤棕草制品业固定资产投资(不含农户)设备工器具购置,林业固定资产投资(不含农户)设备工器具购置,橡胶制品业固定资产投资(不含农户)设备工器具购置,水上运输业固定资产投资(不含农户)设备工器具购置,水利、环境和公共设施管理业固定资产投资(不含农户)设备工器具购置,水利管理业固定资产投资(不含农户)设备工器具购置,水的生产和供应业固定资产投资(不含农户)设备工器具购置,渔业固定资产投资(不含农户)设备工器具购置,烟草制品业固定资产投资(不含农户)设备工器具购置,煤炭开采和洗选业固定资产投资(不含农户)设备工器具购置,燃气生产和供应业固定资产投资(不含农户)设备工器具购置,环境管理业固定资产投资(不含农户)设备工器具购置,电信和其他信息传输服务业固定资产投资(不含农户)设备工器具购置,电力、热力的生产和供应业固定资产投资(不含农户)设备工器具购置,电力燃气水的生产供应业固定资产投资(不含农户)设备工器具购置,电气机械及器材制造业固定资产投资(不含农户)设备工器具购置,畜牧业固定资产投资(不含农户)设备工器具购置,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)设备工器具购置,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)设备工器具购置,石油和天然气开采业固定资产投资(不含农户)设备工器具购置,研究与试验发展固定资产投资(不含农户)设备工器具购置,社会保障业固定资产投资(不含农户)设备工器具购置,社会福利业固定资产投资(不含农户)设备工器具购置,科学研究、技术服务和地质勘查业固定资产投资(不含农户)设备工器具购置,科技交流和推广服务业固定资产投资(不含农户)设备工器具购置,租赁业固定资产投资(不含农户)设备工器具购置,租赁和商务服务业固定资产投资(不含农户)设备工器具购置,管道运输业固定资产投资(不含农户)设备工器具购置,纺织业固定资产投资(不含农户)设备工器具购置,纺织服装、鞋、帽制造业固定资产投资(不含农户)设备工器具购置,群众团体、社会团体和宗教组织固定资产投资(不含农户)设备工器具购置,航空运输业固定资产投资(不含农户)设备工器具购置,装卸搬运和其他运输服务业固定资产投资(不含农户)设备工器具购置,计算机服务业固定资产投资(不含农户)设备工器具购置,证券业固定资产投资(不含农户)设备工器具购置,软件业固定资产投资(不含农户)设备工器具购置,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)设备工器具购置,通用设备制造业固定资产投资(不含农户)设备工器具购置,造纸及纸制品业固定资产投资(不含农户)设备工器具购置,道路运输业固定资产投资(不含农户)设备工器具购置,邮政业固定资产投资(不含农户)设备工器具购置,采矿业固定资产投资(不含农户)设备工器具购置,金属制品业固定资产投资(不含农户)设备工器具购置,金融业固定资产投资(不含农户)设备工器具购置,铁路运输业固定资产投资(不含农户)设备工器具购置,银行业固定资产投资(不含农户)设备工器具购置,零售业固定资产投资(不含农户)设备工器具购置,非金属矿物制品业固定资产投资(不含农户)设备工器具购置,非金属矿采选业固定资产投资(不含农户)设备工器具购置,食品制造业固定资产投资(不含农户)设备工器具购置,餐饮业固定资产投资(不含农户)设备工器具购置,饮料制造业固定资产投资(不含农户)设备工器具购置,黑色金属冶炼及压延加工业固定资产投资(不含农户)设备工器具购置,黑色金属矿采选业固定资产投资(不含农户)设备工器具购置
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
