,专业技术服务业新增固定资产,专用设备制造业新增固定资产,中国共产党机关新增固定资产,交通运输、仓储和邮政业新增固定资产,交通运输设备制造业新增固定资产,人民政协和民主党派新增固定资产,仓储业新增固定资产,仪器仪表文化办公用机械制造业新增固定资产,住宿业新增固定资产,住宿和餐饮业新增固定资产,体育新增固定资产,保险业新增固定资产,信息传输、计算机服务和软件业新增固定资产,公共管理和社会组织新增固定资产,公共设施管理业新增固定资产,其他建筑业新增固定资产,其他服务业新增固定资产,其他采矿业新增固定资产,其他金融活动新增固定资产,农、林、牧、渔业新增固定资产,农、林、牧、渔服务业新增固定资产,农业新增固定资产,农副食品加工业新增固定资产,制造业新增固定资产,化学原料及化学制品制造业新增固定资产,化学纤维制造业新增固定资产,医药制造业新增固定资产,卫生、社会保障和社会福利业新增固定资产,卫生新增固定资产,印刷业和记录媒介的复制新增固定资产,商务服务业新增固定资产,国家机构新增固定资产,国际组织新增固定资产,地质勘查业新增固定资产,城市公共交通业新增固定资产,基层群众自治组织新增固定资产,塑料制品业新增固定资产,娱乐业新增固定资产,家具制造业新增固定资产,居民服务业新增固定资产,居民服务和其他服务业新增固定资产,工艺品及其他制造业新增固定资产,广播、电视、电影和音像业新增固定资产,废弃资源和废旧材料回收加工业新增固定资产,建筑业新增固定资产,建筑安装业新增固定资产,建筑装饰业新增固定资产,房地产业新增固定资产,房屋和土木工程建筑业新增固定资产,批发业新增固定资产,批发和零售业新增固定资产,教育新增固定资产,文化、体育和娱乐业新增固定资产,文化艺术业新增固定资产,文教体育用品制造业新增固定资产,新增固定资产,新闻出版业新增固定资产,有色金属冶炼及压延加工业新增固定资产,有色金属矿采选业新增固定资产,木材加工及木竹藤棕草制品业新增固定资产,林业新增固定资产,橡胶制品业新增固定资产,水上运输业新增固定资产,水利、环境和公共设施管理业新增固定资产,水利管理业新增固定资产,水的生产和供应业新增固定资产,渔业新增固定资产,烟草制品业新增固定资产,煤炭开采和洗选业新增固定资产,燃气生产和供应业新增固定资产,环境管理业新增固定资产,电信和其他信息传输服务业新增固定资产,电力、热力的生产和供应业新增固定资产,电力燃气水的生产供应业新增固定资产,电气机械及器材制造业新增固定资产,畜牧业新增固定资产,皮革毛皮羽毛(绒)及其制品业新增固定资产,石油加工、炼焦及核燃料加工业新增固定资产,石油和天然气开采业新增固定资产,研究与试验发展新增固定资产,社会保障业新增固定资产,社会福利业新增固定资产,科学研究、技术服务和地质勘查业新增固定资产,科技交流和推广服务业新增固定资产,租赁业新增固定资产,租赁和商务服务业新增固定资产,管道运输业新增固定资产,纺织业新增固定资产,纺织服装、鞋、帽制造业新增固定资产,群众团体、社会团体和宗教组织新增固定资产,航空运输业新增固定资产,装卸搬运和其他运输服务业新增固定资产,计算机服务业新增固定资产,证券业新增固定资产,软件业新增固定资产,通信设备、计算机及其他电子设备制造业新增固定资产,通用设备制造业新增固定资产,造纸及纸制品业新增固定资产,道路运输业新增固定资产,邮政业新增固定资产,采矿业新增固定资产,金属制品业新增固定资产,金融业新增固定资产,铁路运输业新增固定资产,银行业新增固定资产,零售业新增固定资产,非金属矿物制品业新增固定资产,非金属矿采选业新增固定资产,食品制造业新增固定资产,餐饮业新增固定资产,饮料制造业新增固定资产,黑色金属冶炼及压延加工业新增固定资产,黑色金属矿采选业新增固定资产
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
