,国内生产总值增长,第一产业对国内生产总值增长的拉动,第三产业对国内生产总值增长的拉动,第二产业对国内生产总值增长的拉动
1978年,11.6466439945,1.15571071186,3.29733388872,7.19359939391
1979年,7.56545715129,1.59620756876,1.92824621198,4.04100337055
1980年,7.85024132669,-0.380765093598,1.49969660797,6.73130981232
1981年,5.13522452986,2.08552500989,2.14951914799,0.900180371971
1982年,9.03192871774,3.50384739052,2.94760207301,2.58047925421
1983年,10.7670216116,2.58825905007,3.51588027083,4.66288229069
1984年,15.2323200792,3.91605316816,4.8331545638,6.48311234727
1985年,13.5098440008,0.549131427228,4.69681909206,8.26389348149
1986年,8.94879154644,0.886702179012,3.30825872741,4.75383064002
1987年,11.7188611751,1.19208104933,4.08409356545,6.44268656029
1988年,11.303548584,0.604225499713,3.77007024803,6.92925283623
1989年,4.20844997569,0.672803296319,1.6905653091,1.84508137027
1990年,3.9184771678,1.58590910999,0.780639358435,1.55192869937
1991年,9.28678386039,0.628898544201,2.98804097127,5.66984434492
1992年,14.2661163978,1.16400738186,4.08867675424,9.01343226167
1993年,13.9372088539,1.06567836873,3.89705006509,8.97448042012
1994年,13.095561945,0.830696407452,3.5885953277,8.67627020989
1995年,10.9799378509,0.956390873588,3.12840287786,6.89514409947
1996年,9.92403262291,0.922115064985,2.82980247874,6.17211507918
1997年,9.22936415017,0.600800876917,3.18172099047,5.44684228279
1998年,7.84807562789,0.568361437657,2.59313516856,4.68657902167
1999年,7.62250658599,0.433585371908,2.85692866162,4.33199255246
2000年,8.43095659103,0.352750308435,3.05852233806,5.01968394453
2001年,8.30480425156,0.388960776648,4.07871169667,3.83713177825
2002年,9.08481268144,0.377195060904,4.23687709801,4.47074052252
2003年,10.0220391105,0.312005662772,3.90930483709,5.8007286106
2004年,10.0771969118,0.747363915585,4.12300332092,5.20682967527
2005年,11.3479446204,0.598632370249,5.03665686781,5.71265538231
2006年,12.6859644784,0.557525869427,5.84404491216,6.28439369682
2007年,14.1994199164,0.383922777946,6.73290889755,7.08258824087
2008年,9.62098493057,0.509461728805,4.45625895013,4.65526425163
2009年,9.23608244078,0.379001896708,4.06403824742,4.79304229665
2010年,10.6292666727,0.383907642372,4.16775061026,6.07760842009
2011年,9.48720933673,0.40189282978,4.20112204009,4.88419446685
2012年,7.74755083402,0.409498809391,3.51943962239,3.81861240224
2013年,7.6853360789,0.339094410219,3.65731600974,3.68892565894
2014年,7.26949178825,0.347273691276,3.49507401669,3.42714408029
