,三次产业构成-国内生产总值,三次产业构成-第一产业增加值,三次产业构成-第三产业增加值,三次产业构成-第二产业增加值
1978年,100.0,27.9000817826,24.5412528139,47.5586654035
1979年,100.0,30.9489206064,22.2592544812,46.7918249124
1980年,100.0,29.8665372912,22.2262838137,47.9071788951
1981年,100.0,31.5547849454,22.6373569528,45.8078581018
1982年,100.0,33.0317593003,22.5174515253,44.4507891745
1983年,100.0,32.8134701832,23.1313741815,44.0551556353
1984年,100.0,31.7660757712,25.4776093547,42.7563148741
1985年,100.0,28.1152086663,29.3315000125,42.5532913211
1986年,100.0,26.8111755637,29.8284380873,43.360386349
1987年,100.0,26.4770585534,30.3466949074,43.1762465392
1988年,100.0,25.3690622303,31.2298885522,43.4010492175
1989年,100.0,24.7391412948,32.8932412169,42.3676174883
1990年,100.0,26.7226711568,32.3809553449,40.8963734984
1991年,100.0,24.1537883918,34.4872770617,41.3589345465
1992年,100.0,21.4272603019,35.5688235448,43.0039161533
1993年,100.0,19.3874437315,34.523170506,46.0893857625
1994年,100.0,19.544914823,34.3682219597,46.0868632172
1995年,100.0,19.6630975728,33.6556197104,46.6812827168
1996年,100.0,19.389883603,33.5725910081,47.037525389
1997年,100.0,17.9588064262,35.0133824845,47.0278110893
1998年,100.0,17.2212410011,37.0587532295,45.7200057694
1999年,100.0,16.130938286,38.5994504575,45.2696112565
2000年,100.0,14.7492236954,39.8231568567,45.4276194478
2001年,100.0,14.0574213627,41.2687247945,44.6738538427
2002年,100.0,13.3787985559,42.3042784362,44.3169230078
2003年,100.0,12.4251176538,42.0866997368,45.4881826094
2004年,100.0,13.005549073,41.2425961479,45.7518547791
2005年,100.0,11.7288967003,41.4021851565,46.8689181432
2006年,100.0,10.710909552,41.8917414938,47.3973489542
2007年,100.0,10.3660424479,42.9412761031,46.6926814489
2008年,100.0,10.3383801831,42.9064315833,46.7551882336
2009年,100.0,9.88168745501,44.4479572867,45.6703552583
2010年,100.0,9.62443529446,44.2020371992,46.1735275064
2011年,100.0,9.53337806509,44.323382765,46.1432391699
2012年,100.0,9.52827007561,45.5007487928,44.9709811316
2013年,100.0,9.40815353386,46.9180684245,43.6737780417
2014年,100.0,9.17033514892,48.1087193757,42.7209454754
