,经常项目专有权利使用费和特许费差额(贷-借),经常项目保险服务差额(贷-借),经常项目其它商业服务差额(贷-借),经常项目其它部门经常转移差额(贷-借),经常项目别处未提及的政府服务差额(贷-借),经常项目各级政府经常转移差额(贷-借),经常项目咨询服务差额(贷-借),经常项目差额(贷-借),经常项目广告、宣传服务差额(贷-借),经常项目建筑服务差额(贷-借),经常项目投资收益差额(贷-借),经常项目收益差额(贷-借),经常项目旅游服务差额(贷-借),经常项目服务差额(贷-借),经常项目电影、音像服务差额(贷-借),经常项目经常转移差额(贷-借),经常项目职工报酬收益差额(贷-借),经常项目计算机和信息服务差额(贷-借),经常项目货物和服务差额(贷-借),经常项目货物差额(贷-借),经常项目运输服务差额(贷-借),经常项目通讯服务差额(贷-借),经常项目金融服务差额(贷-借)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,11300.0,-22600.0,53000.0,-12300.0,-4400.0,0.0,567400.0,0.0,7500.0,37600.0,37600.0,77700.0,56300.0,0.0,48600.0,0.0,0.0,481200.0,424900.0,-7400.0,2100.0,0.0
1983年,0.0,9300.0,-18200.0,43600.0,-14100.0,7500.0,0.0,424000.0,0.0,9600.0,115800.0,115800.0,88800.0,58100.0,0.0,51100.0,0.0,0.0,257100.0,199000.0,-18600.0,1300.0,0.0
1984年,0.0,10300.0,-68300.0,30500.0,-19500.0,13700.0,0.0,203000.0,0.0,8600.0,153400.0,153400.0,98100.0,4000.0,0.0,44200.0,0.0,0.0,5400.0,1400.0,-27700.0,2500.0,0.0
1985年,0.0,12800.0,8800.0,17100.0,-13300.0,7200.0,0.0,-1141700.0,0.0,9100.0,84100.0,84100.0,93600.0,62200.0,0.0,24300.0,0.0,0.0,-1250100.0,-1312300.0,-49300.0,500.0,0.0
1986年,0.0,14700.0,72500.0,25400.0,-3600.0,12400.0,0.0,-703500.0,0.0,19900.0,-2300.0,-2300.0,122300.0,175000.0,0.0,37800.0,0.0,0.0,-739000.0,-914000.0,-50900.0,100.0,0.0
1987年,0.0,11000.0,72900.0,24900.0,5400.0,-2500.0,0.0,30000.0,0.0,5100.0,-21500.0,-21500.0,145800.0,195200.0,0.0,22400.0,0.0,0.0,29100.0,-166100.0,-44800.0,-200.0,0.0
1988年,0.0,13100.0,26500.0,41600.0,-14000.0,300.0,0.0,-380300.0,0.0,3500.0,-16100.0,-16100.0,161400.0,125400.0,0.0,41900.0,0.0,0.0,-406100.0,-531500.0,-66400.0,1300.0,0.0
1989年,0.0,14500.0,53800.0,23800.0,-18600.0,14300.0,0.0,-431800.0,0.0,5300.0,22900.0,22900.0,143100.0,69200.0,0.0,38100.0,0.0,0.0,-492800.0,-562000.0,-139100.0,10200.0,0.0
1990年,0.0,13300.0,57500.0,22200.0,-13200.0,5200.0,0.0,1199700.0,0.0,5200.0,105500.0,105500.0,174800.0,150300.0,0.0,27400.0,0.0,0.0,1066800.0,916500.0,-101900.0,14600.0,0.0
