,其他制造业提供给农、林、牧、渔业的中间使用,其他服务业提供给农、林、牧、渔业的中间使用,农、林、牧、渔业中间使用,农、林、牧、渔业劳动者报酬,农、林、牧、渔业固定资产折旧,农、林、牧、渔业增加值,农、林、牧、渔业总投入,农、林、牧、渔业提供给农、林、牧、渔业的中间使用,农、林、牧、渔业生产税净额,农、林、牧、渔业营业盈余,化学工业提供给农、林、牧、渔业的中间使用,建筑业提供给农、林、牧、渔业的中间使用,房地产业、租赁和商务服务业提供给农、林、牧、渔业的中间使用,批发零售贸易、住宿和餐饮业提供给农、林、牧、渔业的中间使用,机械设备制造业提供给农、林、牧、渔业的中间使用,炼焦、燃气及石油加工业提供给农、林、牧、渔业的中间使用,电力、热力及水的生产和供应业提供给农、林、牧、渔业的中间使用,纺织、服装及皮革产品制造业提供给农、林、牧、渔业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给农、林、牧、渔业的中间使用,采矿业提供给农、林、牧、渔业的中间使用,金属产品制造业提供给农、林、牧、渔业的中间使用,金融业提供给农、林、牧、渔业的中间使用,非金属矿物制品业提供给农、林、牧、渔业的中间使用,食品、饮料制造及烟草制品业提供给农、林、牧、渔业的中间使用
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,1043260.08025,3447479.28,99357988.1104,129786622.47,5847862.39649,147415838.89,246773827.0,39641456.4299,4329970.09701,7451383.92638,18257171.5149,489537.812873,1084031.25932,4474911.54062,3947123.36872,2088501.3769,1805192.50964,706277.281514,2938150.38085,512276.0557,768793.072527,1157123.46888,627725.349167,16368977.3286
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,818887.4,4797145.78,111522265.08,134431208.138,5968377.21838,152960404.781,264482669.861,40355500.0,4150515.69365,8410303.73047,24747300.0,569970.0,1405699.6,5026066.0,4241720.2,3703100.0,3065830.0,797955.0,3689724.0,439177.3,723665.8,1522460.0,509764.0,15108300.0
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,1614620.88376,2870358.85726,119482762.055,133159686.496,7649132.09558,166304660.935,285787422.99,46368195.5852,5446504.2668,20049338.0762,19248702.0597,497113.205506,1194940.61687,7957969.71951,3964841.28227,2814691.71362,3310202.53635,213489.736367,6152180.20259,980424.621672,1162704.41938,4513873.13936,900993.808475,15717459.6671
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,1857791.72814,4473997.73537,162757603.896,208972657.3,11945295.1985,230809358.601,393566962.497,61717615.1996,1209199.22154,8682206.88117,25982159.9698,746537.649186,1003741.10536,8615858.13815,4530911.90589,4188809.7013,4339453.04954,336761.593137,9132506.07808,1699349.5351,1425315.86498,4143830.8147,1179405.46346,27383558.364
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1469214.67532,7862940.40848,202338262.213,271816270.018,14297447.6749,286591737.693,488929999.906,68771565.4671,478020.0,,37291505.9371,113271.449163,818680.585945,8517007.88524,5310450.21305,3961123.97539,4673773.96943,271598.959657,9707947.25387,330853.561047,1458964.18979,4063621.63263,692876.994128,47022865.0559
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,2004176.68728,11236220.7976,287862000.0,385628325.614,18924174.386,405336000.0,693198000.0,92202499.5836,783500.0,,54421113.8217,172743.704477,1170581.78037,11376971.3659,6761072.1369,4900754.99649,7092896.39992,362264.724407,15487695.5379,562009.476029,2363358.51945,5514421.04174,987155.904726,71246063.5215
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,669336.189831,7776503.05106,370625314.011,529963185.765,22581542.1845,523588159.181,894213473.192,123205603.452,-28956568.7683,,75796652.0338,81428.0899742,320135.164658,13979197.7114,7309381.93123,14499087.943,8920335.71044,397114.613179,11724430.0007,59549.2083807,429625.369598,11048752.1671,289937.832728,94118243.5417
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
