,为生产其他制造业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产其他制造业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.428968439473,0.036771481091,0.168225115774,0.34420358147,0.00211059665028,0.0385547745627,0.0745743097293,0.192324824038,0.0723239574907,0.127824472191,0.109537861911,0.0923302746031,0.129213393618,0.207692897707,0.0474208549592,0.0262251260586,0.0533131234694
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.449291662777,0.0403517703169,0.193817144942,0.358111224028,0.00273403641694,0.0494664144382,0.0854944403205,0.202226406591,0.0730974698079,0.134929870212,0.118683496072,0.111311847648,0.163327816303,0.202663572276,0.0590574845827,0.032215689764,0.0652661519027
2011年,,,,,,,,,,,,,,,,,
2012年,0.439973875733,0.0406643163043,0.167644866592,0.357715159979,0.0077725647161,0.0666976480671,0.103029677555,0.143231953449,0.0707858374142,0.108201200418,0.114181057792,0.105779224408,0.146713535426,0.220022624643,0.0807036179007,0.0224428811895,0.0644406954314
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
