,为生产金融业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产金融业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.0600845394402,0.0350390886356,0.0206664314636,0.0476111503078,0.00306735281843,0.0905889929149,0.06453359507,0.0838056272424,0.0312480938022,0.0392693466906,0.0159200069982,0.0772787480558,0.0364279631524,0.0404673571599,0.0840757519498,0.00518326443271,0.0182115724117
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.0539017637349,0.0305576282925,0.0248181709794,0.051988617287,0.00411620423182,0.120447739964,0.0681378910618,0.0879429363762,0.0336812092909,0.0412923492207,0.0179709784656,0.0938677182475,0.0465321927425,0.0406572390278,0.107792056497,0.0066457296405,0.022627882999
2011年,,,,,,,,,,,,,,,,,
2012年,0.0761551630821,0.0430550090934,0.02588895775,0.0515846904539,0.0146406660207,0.203071217004,0.0817474353855,0.0698567975203,0.0327262122822,0.0305024536021,0.0243377135173,0.0885519025467,0.0421008839689,0.0441336964855,0.106384900844,0.00768227324968,0.0240463091692
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
