,为生产食品、饮料制造及烟草制品业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产食品、饮料制造及烟草制品业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.0729818939645,0.0358275171391,0.607662651745,0.195075221535,0.00202065356597,0.038898642082,0.0745233874765,0.106877846112,0.0499593907511,0.0774354474631,0.0198737497349,0.0847863706924,0.0742529002652,0.0697119353263,0.0382314728136,0.0192223167581,0.324955164611
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.0708476974602,0.0373549042417,0.646819518176,0.20142494804,0.00250005485269,0.0478329614869,0.0794599805433,0.106414118461,0.048255971075,0.0773991815155,0.0210405133732,0.0968535823375,0.0865910139294,0.0676835381382,0.0442725900877,0.0219839999729,0.364821404935
2011年,,,,,,,,,,,,,,,,,
2012年,0.045771058003,0.029042226213,0.605397321345,0.176181523208,0.00504317936162,0.0525564655737,0.110727456893,0.0687030608948,0.046467811053,0.0571565721456,0.017441771446,0.0909628279992,0.0684559929833,0.0467448453622,0.0551607847981,0.0142496159866,0.398755459325
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
