,农、林、牧、渔业总投入,农、林、牧、渔业部门生产1单位总产出对中间投入产品的消耗量,农、林、牧、渔业部门生产1单位总产出对其他制造业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对其他服务业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对劳动者报酬产品的消耗量,农、林、牧、渔业部门生产1单位总产出对化学工业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对固定资产折旧产品的消耗量,农、林、牧、渔业部门生产1单位总产出对增加值产品的消耗量,农、林、牧、渔业部门生产1单位总产出对建筑业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对机械设备制造业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对生产税净额产品的消耗量,农、林、牧、渔业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对营业盈余产品的消耗量,农、林、牧、渔业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对采矿业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对金属产品制造业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对金融业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,农、林、牧、渔业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.413838918152,0.0030049591467,0.0160819348577,0.140657283211,0.555941075554,0.0762716665866,0.0292423203273,0.586161081848,0.000231672119086,0.00167443312151,0.0174196876585,0.0108613711862,0.00810161776971,0.000977685967504,0.00955918837118,0.000555496614461,,0.0198554951746,0.000676689017059,0.00298399400747,0.00831125444013,0.00141712922967,0.0961750456402
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.415266633776,0.00289120379355,0.0162092516101,0.133010336994,0.556303286527,0.078507315113,0.0272998110006,0.584733366224,0.00024919821534,0.00168866872145,0.0164122968703,0.00975345014974,0.00706977659556,0.00113026869668,0.0102321362726,0.000522599206009,,0.0223423834718,0.000810748842364,0.00340935565227,0.00795504465065,0.00142406052055,0.102778807096
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.414470733356,0.000748519464197,0.00869647269271,0.137780974169,0.592658466522,0.0847634869147,0.0252529657196,0.585529266644,9.106113072e-05,0.000358007538754,0.0156329535738,0.00817409058393,0.0162143474436,-0.0323821655974,0.00997562212813,0.000444093748399,,0.0131114441374,6.6593951183e-05,0.000480450566312,0.0123558328054,0.000324237826224,0.105252544681
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
