,机械设备制造业总投入,机械设备制造业部门生产1单位总产出对中间投入产品的消耗量,机械设备制造业部门生产1单位总产出对其他制造业部门产品的消耗量,机械设备制造业部门生产1单位总产出对其他服务业部门产品的消耗量,机械设备制造业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,机械设备制造业部门生产1单位总产出对劳动者报酬产品的消耗量,机械设备制造业部门生产1单位总产出对化学工业部门产品的消耗量,机械设备制造业部门生产1单位总产出对固定资产折旧产品的消耗量,机械设备制造业部门生产1单位总产出对增加值产品的消耗量,机械设备制造业部门生产1单位总产出对建筑业部门产品的消耗量,机械设备制造业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,机械设备制造业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,机械设备制造业部门生产1单位总产出对机械设备制造业部门产品的消耗量,机械设备制造业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,机械设备制造业部门生产1单位总产出对生产税净额产品的消耗量,机械设备制造业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,机械设备制造业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,机械设备制造业部门生产1单位总产出对营业盈余产品的消耗量,机械设备制造业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,机械设备制造业部门生产1单位总产出对采矿业部门产品的消耗量,机械设备制造业部门生产1单位总产出对金属产品制造业部门产品的消耗量,机械设备制造业部门生产1单位总产出对金融业部门产品的消耗量,机械设备制造业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,机械设备制造业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.80775264115,0.0200983417265,0.0130659094378,3.6224782252e-05,0.0686379052135,0.058234724473,0.0220736756382,0.19224735885,0.000230766161778,0.0119002068104,0.0305612609429,0.419093093952,0.00593469269193,0.0406408012645,0.0143548160376,0.00484031595194,0.0608949767335,0.0222944243969,0.00310896675073,0.177421306583,0.0118545430523,0.0115737123312,0.00314933506754
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.817863728373,0.0207219080184,0.0148403916183,4.9567087806e-05,0.0775654524463,0.0583027955449,0.0218797952325,0.182136271627,0.000276739252479,0.0152801327902,0.0340786570226,0.409860578343,0.00564333963168,0.03261610872,0.0152722293096,0.00542851753869,0.0500749152286,0.0272920483173,0.00293242656266,0.176722985911,0.0140813329,0.0136634020756,0.00341667644878
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.809954072591,0.0113647051785,0.0210971253761,7.3612832872e-05,0.0887243315239,0.0575864953478,0.0231751245146,0.190045927409,0.00149427350192,0.0143801967814,0.0417477802639,0.404852383898,0.00375923342473,0.0286999078144,0.0119738916117,0.00526537365529,0.0494465635562,0.0279386294424,0.00163852503586,0.169942267947,0.0197270296122,0.0132941139104,0.00381843477033
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
