,农村居民消费,固定资本形成总额,城镇居民消费,存货变动,居民消费,支出法生产总值,政府消费,最终消费,最终消费率,货物和服务净出口,资本形成总额,资本形成率
1978年,1092.4,1073.9,666.7,304.0,1759.1,3605.6,480.0,2239.1,62.1006212558,-11.4,1377.9,38.2155535833
1979年,1254.62986251,1153.1,759.33436187,325.8,2013.96422439,4045.38760214,572.523377758,2586.48760214,63.9367066032,-20.0,1478.9,36.5576836004
1980年,1414.87324291,1302.4,922.009737304,277.3,2336.88298021,4539.2865694,637.403589184,2974.2865694,65.5232165656,-14.7,1579.7,34.8006228699
1981年,1610.37805749,1339.3,1017.15296138,280.9,2627.53101887,4919.57544144,654.744422568,3282.27544144,66.7186727902,17.1,1620.2,32.9337362398
1982年,1817.37589674,1513.2,1049.74333747,201.0,2867.11923422,5385.98034684,713.58920062,3580.70843484,66.4820182075,91.071912,1714.2,31.8270749169
1983年,2024.39450738,1688.3,1196.54282395,225.7,3220.93733133,6033.36158194,847.629003609,4068.56633494,67.4344853973,50.795247,1914.0,31.7236083733
1984年,2251.18355915,2127.0,1438.36359883,368.1,3689.54715798,7293.65186121,1107.74812323,4797.29528121,65.7735709422,1.25658,2495.1,34.2092006512
1985年,2786.74227919,2772.0,1840.70062586,785.5,4627.44290505,9121.47148021,1303.63294116,5931.07584621,65.0232351115,-367.104366,3557.5,39.0013827015
1986年,3113.0225025,3219.7,2180.49710746,702.2,5293.51960996,10406.2878997,1446.03020976,6739.54981972,64.7642068398,-255.16192,3921.9,37.6877906684
1987年,3471.50441732,3738.7,2576.09566606,823.3,6047.60008338,12221.7990804,1601.36768599,7648.96776937,62.5846302911,10.831311,4562.0,37.3267468235
1988年,4151.63774726,4751.9,3380.50560915,1218.3,7532.1433564,15252.8588847,1901.67000931,9433.81336572,61.8494764622,-151.154481,5970.2,39.1415146834
1989年,4864.891966,4419.4,3913.07819317,1993.3,8777.97015917,17270.2052633,2265.07923217,11043.0493913,63.9427801983,-185.544128,6412.7,37.1315795164
1990年,5240.88114842,4527.8,4194.15701416,1919.2,9435.03816258,18968.41972,2576.10978146,12011.147944,63.3218165842,510.271776,6447.0,33.9880712002
1991年,5573.49882418,5670.3,4970.97291205,2097.7,10544.4717362,22014.1094383,3084.08166901,13628.5534053,61.9082658941,617.556033,7768.0,35.2864603576
